ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
40752,Bishounen Tanteidan,美少年探偵団,Pretty Boy Detective Club,"Mayumi Doujima promises her parents that she will give up on her dreams of becoming an astronaut on her 14th birthday if she cannot find a star she once saw long ago.  Overhearing her troubles, the eccentric Manabu Soutouin offers to help her search for the star alongside the rest of Yubiwa Academy's mysterious Pretty Boy Detective Club, whose rules are as follows: ""Be pretty, be a boy, and be a detective!""

However, Mayumi is unique—she can see many things that ordinary people cannot. Her eyesight allows her to see the tiniest of details, from people approaching her at a distance to hidden traps that would otherwise go undetected. When the search for the lost star begins to sour, the Pretty Boy Detective Club end up entangled in something far beyond what they ever imagined. 

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2021","Jun 27, 2021","Aniplex, Kodansha, ABC Animation",Aniplex of America,Shaft,Novel,Mystery,"School, Visual Arts",Unknown,23.0,PG-13 - Teens 13 or older,7.141,27801.0,32532.0,1936,89632,546,2021.0
16,Hachimitsu to Clover,ハチミツとクローバー,Honey and Clover,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him.

Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them.

Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 15, 2005","Sep 27, 2005","Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,"Comedy, Drama, Romance, Slice of Life","Love Polygon, Visual Arts",female,23.0,PG-13 - Teens 13 or older,8.011,79789.0,5582.0,812,250730,4069,2005.0
38857,Neko no Nyagh: Nya Misérables,猫のニャッホ ～ニャ・ミゼラブル～,Unknown,"TV adaptation of Cocone Corporation's mobile puzzle game app.

Discover the adventures of the cat painter, Vincent van Meowogh who lives in a mansion in Paris surrounded by his quirky friends. Let's give him a spark of inspiration for his painting by completing puzzle stages, buy back the furniture and restore his home to its former glory!

(Source: ANN)",TV,25.0,Finished Airing,"Apr 3, 2019","Sep 18, 2019",Unknown,Unknown,TMS Entertainment,Game,Unknown,"Strategy Game, Visual Arts",Kids,1.0,G - All Ages,,,138122.0,14556,419,1,2019.0
42568,Yaku nara Mug Cup mo,やくならマグカップも,Let's Make a Mug Too,"The city of Tajimi is well-renowned for its Mino ware ceramics and being the hometown of Himeno Toyokawa's mother. Considered a legend in the world of pottery, Himeno's mother suddenly passed away when Himeno was four. However, her legacy lives on in the dozens of unique mugs that adorn the Toyokawas' new restaurant in Tajimi.

Having moved back to the city recently following the bankruptcy of her father's company in Tokyo, Himeno brings some of her mother's mugs to her first day of high school in an attempt to make friends. One person who immediately takes an interest is Mika Kukuri, an eccentric girl in Himeno's class who soon introduces her to Tooko Aoki, the president of the Pottery Club. After learning more about her mother's contributions to the club and the art form, Himeno asks her father for permission to join, which he gladly gives.

Alongside Mika and her childhood friend Naoko Naruse, Himeno enters the Pottery Club to continue her mother's beloved work and discover her own passion for the craft.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 3, 2021","Jun 21, 2021","CBC Television, Planet, Half H.P Studio, Nippon Columbia, 81 Produce, Tokyo MX, BS11, Maho Film, Zipang",Unknown,Nippon Animation,Manga,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",Unknown,14.0,PG-13 - Teens 13 or older,6.501,13583.0,63862.0,2981,41855,129,2021.0
40128,Arte,アルテ,Arte,"In the 16th century, the city of Florence booms with cultural and creative revival in celebration of the Renaissance. Arte, a delightful young lady from an aristocratic family, dreams of being an artist and contributing to the renewal of civilization. However, with her father's death, she ends up losing the only person who believed in her passion for art. Now she is expected to marry a nobleman and live as a refined housewife without disgracing her family name. Reluctant to accept her fate, the headstrong Arte steps into the streets in search of a master artisan to take her on as an apprentice.

In her quest for a mentor, Arte has to face harsh reality when she is completely shunned for being a female artist. No one believes that women are capable of fine craftsmanship, and therefore none are willing to accept her. Luckily, a renowned artisan by the name of Leo is persuaded to take her as his disciple since he has none anyway. And thus, Arte's new life begins, far from the comfort of her noble upbringing. As an apprentice, she must earn her keep while tackling various challenges along the difficult path to becoming a full-fledged, master artisan.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2020","Jun 20, 2020","MediaNet, Toei Video, KlockWorx, flying DOG, Nikkatsu, Asmik Ace, BS Fuji, NBCUniversal Entertainment Japan, Tokyo MX, Glovision, North Stars Pictures, RAY, Muse Communication",Funimation,Seven Arcs,Manga,"Drama, Slice of Life","Historical, Visual Arts",teenager,24.0,PG-13 - Teens 13 or older,7.181,50800.0,30792.0,1601,116489,312,2020.0
36470,Tada-kun wa Koi wo Shinai,多田くんは恋をしない,Tada Never Falls in Love,"Love has never really been a concern for Mitsuyoshi Tada, and as the aspiring photographer enters his second year of high school, it truthfully couldn't be further from his mind. However, things just might change after he meets a bright and bubbly foreigner named Teresa Wagner while he was taking pictures of a cherry blossom tree. Nevertheless, after she asks him to photograph her, the two soon separate... only to meet each other again twice more that same day! Finding Teresa just as she is caught in a sudden downpour, Tada invites her to his family's coffee shop to dry off. There, she explains that she was separated from her traveling companion, a no-nonsense redhead named Alexandra ''Alec'' Magritte. When Alec reunites with Teresa shortly after, they say their goodbyes, expecting to part ways for good—but the two unexpectedly show up as transfer students in his class the next day.

Teresa and Alec quickly get used to their lives at Koinohoshi High School and decide to join Tada in the photography club, along with his narcissistic friend Kaoru Ijuuin, the idol-obsessed Hajime Sugimoto, serious class rep Hinako Hasegawa, and the dog-like Kentarou Yamashita. With these two peculiar additions to his equally eccentric group of friends, Tada's second year of high school is about to get even livelier, and he might need to start rethinking his approach to love.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 5, 2018","Jun 28, 2018","Media Factory, AT-X, Docomo Anime Store, BS11",Sentai Filmworks,Doga Kobo,Original,"Comedy, Romance, Slice of Life",Visual Arts,Unknown,23.0,PG-13 - Teens 13 or older,7.571,117277.0,14392.0,780,263684,1224,2018.0
9996,Hyouge Mono,へうげもの,Unknown,"The story is set during Japan's Sengoku Jidai (Era of the Warring States) and centers on Furuta Sasuke, a vassal of the great warlord Oda Nobunaga and a man obsessed with tea ceremony and material desires in his pursuit of a fortuitous life. Having learned from Oda and the legendary tea master Sen no Soueki, Furuta walks the way of the Hyouge Mono.

(Source: ANN)",TV,39.0,Finished Airing,"Apr 7, 2011","Jan 26, 2012","NHK, Sogo Vision",Unknown,Bee Train,Manga,Unknown,"Adult Cast, Historical, Samurai, Visual Arts",teenager,25.0,R - 17+ (violence & profanity),7.951,4226.0,6332.0,3827,25949,281,2011.0
28817,Mikagura Gakuen Kumikyoku (TV),ミカグラ学園組曲,Mikagura School Suite,"To be around cute girls wearing cute clothing is all Eruna Ichinomiya desires. Since Mikagura High School happens to have the cutest uniforms around, she decides to enroll in this prestigious high school known for its cultural clubs.

However, she does not realize that joining a club is mandatory, and representatives from each club must battle for a ranking. Based on these rankings, club members are awarded housing and food. Chasing after Seisa Mikagura, the most beautiful girl in school, Eruna joins the going-home club but finds herself thrust into fighting the next club battle. With the other club representatives wielding unique powers, the competition is sure to be fierce!

Based on the popular song series, Mikagura Gakuen Kumikyoku follows Eruna as she explores the various clubs in school and assists the members with their troubled lives, all of whom are also vying for the top spot in school.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 7, 2015","Jun 23, 2015","Media Factory, Movic, AT-X, Showgate",Funimation,Doga Kobo,Mixed media,"Action, Comedy, Girls Love","School, Visual Arts",Unknown,24.0,PG-13 - Teens 13 or older,6.681,34258.0,54042.0,2004,85162,174,2015.0
519,Mahoraba: Heartful days,まほらば ~Heartful days~,Unknown,"Shiratori Ryuushi is a young artist-in-training, about to start studying at a vocational school. Arriving at his new lodgings, Narutakisou, he finds himself the focus of attention for the collection of weirdos that inhabit the place. He also meets and falls for the landlady, Aoba Kozue, who seems to be both lovely and charming. However, Kozue is not what she seems to be... in fact, she's more.

(Source: ANN)",TV,26.0,Finished Airing,"Jan 10, 2005","Jun 27, 2005","Starchild Records, TV Tokyo Music",Discotek Media,J.C.Staff,Manga,"Comedy, Drama, Romance","Iyashikei, Visual Arts",young boy,23.0,PG-13 - Teens 13 or older,7.301,10014.0,24592.0,3923,24597,102,2005.0
40392,Runway de Waratte,ランウェイで笑って,Smile Down the Runway,"Being the daughter of a modeling agency owner, Chiyuki Fujito aspires to represent her father's agency in the prestigious Paris Fashion Week, shining under the spotlight as a runway model. However, although she is equipped with great looks and talent, she unfortunately lacks a key element in becoming a successful model—height. Stuck at 158 cm even after entering high school, her childhood dream seems out of reach.

Meanwhile, Ikuto Tsumura is a high school student with a knack in designing clothes; however, without the resources to pursue the necessary education, his ambition of becoming a fashion designer remains a mere dream. But as fate brings Chiyuki and Ikuto together, the dim hopes within their hearts are ignited once again. Together, the two promise to rebel against convention and carve out their own paths in the fashion world.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 11, 2020","Mar 28, 2020","Mainichi Broadcasting System, Kodansha, DMM pictures",Funimation,Ezόla,Manga,"Drama, Slice of Life","School, Showbiz, Visual Arts",young boy,24.0,PG-13 - Teens 13 or older,7.591,48158.0,13792.0,1609,115571,397,2020.0
