ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
1021,Kaikan Phrase,快感 フレーズ,Unknown,"After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine.
",TV,44.0,Finished Airing,"Apr 20, 1999","Mar 26, 2000","TV Tokyo, Shogakukan-Shueisha Productions",Unknown,Studio Hibari,Manga,"Drama, Romance","Music, Showbiz",young girl,24.0,PG-13 - Teens 13 or older,7.341,3914.0,22912.0,5180,12773,110,1999.0
40513,Nami yo Kiitekure,波よ聞いてくれ,"Wave, Listen to Me!","Restaurant worker Minare Koda has recently been through a bad breakup. Heartbroken and drunk after a night out, she rants about her misery to a complete stranger—Kanetsugu Matou, a radio station director local to Sapporo, Hokkaido.

The next day at work, Minare is shocked to hear a recording of herself from the previous night playing over the radio. Flustered, she rushes to the radio station in a frenzy to stop the broadcast. As she confronts Matou, a chain of events leads to her giving an impromptu talk live on air, explaining her savage drunken speech. With her energetic voice, she delivers a smooth dialogue with no hesitation, which Matou recognizes as raw talent.

Minare soon becomes a late-night talk show host under Matou's direction, covering amusing narratives set in Sapporo, all while balancing her day job and personal life to make ends meet.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2020","Jun 20, 2020","Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",Funimation,Sunrise,Manga,"Comedy, Drama, Romance",Showbiz,teenager,24.0,R - 17+ (violence & profanity),7.351,28291.0,22252.0,2105,77302,167,2020.0
1486,Kodomo no Omocha (TV),こどものおもちゃ,Kodocha,"Sixth grader Sana Kurata has a perfect life. Her mother is a (fairly) successful author, she has a young man employed to keep her happy and safe, and best of all, she is the star of the children's television show Kodomo no Omocha. There's just one thing bothering her, and that's Akito Hayama.

Akito is a classmate of Sana's, and ever since he's started acting out in class, the rest of the boys have followed his example. Every day, the girls and the teacher wage a battle to keep the class under control and to get some actual learning done. That rotten Akito… Sana won't stand for this!

The hyperactive Sana decides to dig deeper and find out what makes Akito tick, so class can go back to normal and the teacher can stop spending every day crying instead of teaching. But the more she learns about him, the more she realizes that there might be more to Akito than meets the eye. ",TV,102.0,Finished Airing,"Apr 5, 1996","Mar 27, 1998","TV Tokyo, Nihon Ad Systems, Pony Canyon","Funimation, Discotek Media",Gallop,Manga,"Comedy, Drama, Romance","Love Polygon, Showbiz",young girl,22.0,PG-13 - Teens 13 or older,8.051,25298.0,5022.0,2438,61160,1226,1996.0
1070,Love Get Chu,ラブゲッCHU ～ミラクル声優白書～,Unknown,"Five girls came to a training school to become voice actresses holding each thought in her mind. Momoko - she wanted to be a voice actress to meet her favorite voice actor. Rinka - she is an armature voice actress, but she didn't have special purpose to become voice actress. Yurika - she likes anime very much. Tsubasa - she was a girl in love, and acted only as a boy. Amane - she found a deadlock as a actress and tried to find another way. They managed to get over the difficulty to become voice actress although they couldn't perform as main characters yet. There is a love romance with a boy works for an anime company, and you can catch a glimpse of situations of anime industries.

(Source: ANN)",TV,25.0,Finished Airing,"Apr 5, 2006","Sep 27, 2006",Unknown,Unknown,Radix,Visual novel,"Comedy, Romance",Showbiz,Unknown,24.0,PG-13 - Teens 13 or older,6.481,1941.0,64642.0,6233,8048,8,2006.0
1974,Glass no Kamen (2005),ガラスの仮面 (2005),Glass Mask,"Two Girls. One Dream. And the entire world for a stage.

At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks. 

For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections. 

For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part…

But for one to win, the other must fail! 

(Source: Sentai Filmworks)",TV,51.0,Finished Airing,"Apr 6, 2005","Mar 29, 2006","TMS Entertainment, MediaNet",Sentai Filmworks,Tokyo Movie Shinsha,Manga,Drama,"Performing Arts, Showbiz",young girl,25.0,G - All Ages,8.061,11742.0,4952.0,3226,36442,494,2005.0
1516,Kirarin☆Revolution,きらりん☆レボリューション,Kirarin Revolution,"Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love.

One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS.

Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol.

(Source: Wikipedia)",TV,153.0,Finished Airing,"Apr 7, 2006","Mar 27, 2009","Shogakukan-Shueisha Productions, MediaNet, Sony Music Entertainment",Unknown,"SynergySP, G&G Entertainment",Manga,"Comedy, Drama, Romance",Showbiz,young girl,22.0,PG-13 - Teens 13 or older,7.051,12610.0,36952.0,3586,29573,226,2006.0
710,Rec,レック,Unknown,"After being stood up for a movie date, marketing employee Fumihiko Matsumaru is about to throw away his tickets when he is stopped by a girl who implores him to let her accompany him instead. Thanks to his upbeat and eccentric companion Aka Onda, an aspiring voice actress, Fumihiko enjoys his evening. While walking home together, they find out that they live in the same neighborhood. Mere hours later, Fumihiko wakes up from a nightmare and hears sirens outside his window. Going outside to check the situation, he sees that Aka's apartment has burned down, along with all her possessions. Fumihiko invites the distressed Aka to stay at his place, leading to them sleeping together.

In the aftermath of that fateful night, their personal and professional lives become inextricably intertwined. Not only do they begin living together platonically despite their one-night stand, they also discover that Aka will be voicing the mascot Fumihiko designed for his company's newest product. While trying to keep their live-in relationship under wraps for fear of scrutiny, the two begin to support each other throughout the difficulties in their respective careers.

[Written by MAL Rewrite]",TV,9.0,Finished Airing,"Feb 3, 2006","Mar 31, 2006","Frontier Works, Pony Canyon, TBS, Movic, Shogakukan",Unknown,Shaft,Manga,"Comedy, Drama, Romance",Showbiz,teenager,13.0,PG-13 - Teens 13 or older,7.291,56166.0,25002.0,1692,108773,310,2006.0
50285,On Air Dekinai!,オンエアできない!,Unknown,"Set in 2014, the anime follows the adventures of 23 years old Mafuneko, a newly minted assistant director who joins the TV production department at Tokyo Hajikko Television, only to discover that the glamorous and glitzy life of working behind-the-scenes making TV shows involves strange and inexplicable tasks such as ""gathering 300 acorns"" and ""making a mosaic out of the images reflected in the camera lens."" Despite being surrounded by chaos, set-backs, and weirdos, Mafuneko struggles to become a fully-fledged TV producer.

(Source: Crunchyroll, edited)",TV,12.0,Finished Airing,"Jan 10, 2022","Mar 28, 2022","Pierrot, TV Tokyo, WarRock",Unknown,"Space Neko Company, Jinnan Studio",Manga,Comedy,Showbiz,Unknown,3.0,PG-13 - Teens 13 or older,,,140482.0,9771,2238,11,2022.0
40392,Runway de Waratte,ランウェイで笑って,Smile Down the Runway,"Being the daughter of a modeling agency owner, Chiyuki Fujito aspires to represent her father's agency in the prestigious Paris Fashion Week, shining under the spotlight as a runway model. However, although she is equipped with great looks and talent, she unfortunately lacks a key element in becoming a successful model—height. Stuck at 158 cm even after entering high school, her childhood dream seems out of reach.

Meanwhile, Ikuto Tsumura is a high school student with a knack in designing clothes; however, without the resources to pursue the necessary education, his ambition of becoming a fashion designer remains a mere dream. But as fate brings Chiyuki and Ikuto together, the dim hopes within their hearts are ignited once again. Together, the two promise to rebel against convention and carve out their own paths in the fashion world.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 11, 2020","Mar 28, 2020","Mainichi Broadcasting System, Kodansha, DMM pictures",Funimation,Ezόla,Manga,"Drama, Slice of Life","School, Showbiz, Visual Arts",young boy,24.0,PG-13 - Teens 13 or older,7.591,48158.0,13792.0,1609,115571,397,2020.0
43735,Cue!,CUE!,Unknown,"As a new agency, AiRBLUE's roster consists of voice actresses with absolutely no experience. Expecting to hone their skills and build courage at a gradual pace, the girls are taken aback when the head of their agency, Masaki Ootori, announces that they will be partaking in an audition for Bloomball—a popular sports manga receiving an anime adaptation. Despite all odds being stacked against them, each of the girls is now presented with a momentous chance to make their debut in the unrelenting world of voice acting. 

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Jan 8, 2022","Jun 25, 2022","Pony Canyon, APDREAM, Liber Entertainment",Unknown,"Yumeta Company, Graphinica",Game,Unknown,"Idols (Female), Music, Showbiz",Unknown,24.0,PG-13 - Teens 13 or older,6.811,6126.0,47612.0,4135,21971,150,2022.0
