ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
52962,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～,Tearmoon Empire,"Surrounded by the hate-filled gazes of her people, the selfish princess of the fallen Tearmoon Empire, Mia, takes one last look at the bleeding sun before the guillotine blade falls... Only to wake back up as a twelve-year-old! With time rewound and a second chance at life dropped into her lap, she sets out to right the countless wrongs that plague the ailing Empire. Corrupt governance? Check. Border troubles? Check. Natural calamities and economic strife? Check. My, seems like a lot of work. Hard work and Mia don't mix, so she seeks out the aid of others, starting with her loyal maid, Anne, and the brilliant minister, Ludwig. Together, they strive day and night to restore the Empire. Little by little, their tireless efforts begin to change the course of history, pushing the whole of the continent toward a new future. And why did the selfish princess have a change of heart, you ask? Simple—she didn't. She's just terrified of the guillotine. They hurt like hell, and Mia hates pain more than work. 

(Source: J-Novel Club)",TV,,Not yet aired,2023,Unknown,Mainichi Broadcasting System,Unknown,SILVER LINK.,Light novel,"Comedy, Fantasy, Romance",Time Travel,Unknown,,None,,,,10665,1641,14,2023.0
42249,Tokyo Revengers,東京リベンジャーズ,Tokyo Revengers,"Takemichi Hanagaki’s second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he’s a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang’s cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day twelve years ago, when he was still dating Hinata Tachibana.

After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata’s younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he isn’t dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend’s tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 11, 2021","Sep 19, 2021","Mainichi Broadcasting System, Pony Canyon, Kodansha, AT-X, Ultra Super Pictures, Studio Mausu, Sammy",Unknown,LIDENFILMS,Manga,"Action, Drama, Supernatural","Delinquents, School, Time Travel",young boy,23.0,R - 17+ (violence & profanity),8.081,547323.0,4632.0,124,1006101,23742,2021.0
30484,Steins;Gate 0,シュタインズ・ゲート ゼロ,Steins;Gate 0,"The eccentric, self-proclaimed mad scientist Rintarou Okabe has become a shell of his former self. Depressed and traumatized after failing to rescue his friend Makise Kurisu, he has decided to forsake his mad scientist alter ego and live as an ordinary college student. Surrounded by friends who know little of his time travel experiences, Okabe spends his days trying to forget the horrors of his adventures alone. 

While working as a receptionist at a college technology forum, Okabe meets the short, spunky Maho Hiyajo, who 
later turns out to be the interpreter at the forum's presentation, conducted by Professor Alexis Leskinen. In front of a stunned crowd, Alexis and Maho unveil Amadeus—a revolutionary AI capable of storing a person's memories and creating a perfect simulation of that person complete with their personality and quirks. Meeting with Maho and Alexis after the presentation, Okabe learns that the two were Kurisu's colleagues in university, and that they have simulated her in Amadeus. Hired by Alexis to research the simulation's behavior, Okabe is given the chance to interact with the shadow of a long-lost dear friend. Dangerously tangled in the past, Okabe must face the harsh reality and carefully maneuver around the disastrous consequences that come with disturbing the natural flow of time.

[Written by MAL Rewrite]
",TV,23.0,Finished Airing,"Apr 12, 2018","Sep 27, 2018","Frontier Works, Media Factory, Kadokawa Shoten, Movic",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Time Travel,Unknown,23.0,PG-13 - Teens 13 or older,8.521,376823.0,1102.0,188,783047,10881,2018.0
36309,Butlers: Chitose Momotose Monogatari,Butlers~千年百年物語~,Butlers x Battlers,"The anime centers on two protagonists. Koma Jinguji (Jay) is the smart and handsome student council president. His elegant smile captures the hearts of women. Tsubasa Hayakawa is a multi-talented and gentle shop assistant at a café. His cafe latte with owl latte art is very popular with female customers. The two men travel through time to fight their archenemy. The charming ""Butlers,"" as they are called, fight supernatural battles and also experience a slapstick comedic life at their academy.

(Source: ANN)",TV,12.0,Finished Airing,"Apr 12, 2018","Jun 28, 2018","Lantis, Kadokawa Shoten",Unknown,SILVER LINK.,Original,"Comedy, Supernatural","School, Time Travel",Unknown,23.0,PG-13 - Teens 13 or older,5.641,5887.0,106062.0,4013,23451,42,2018.0
13261,Inazuma Eleven Go: Chrono Stone,イナズマイレブンGO クロノ・ストーン,Unknown,"Inazuma Eleven Go: Chrono Stone is set after the Holy Road Soccer Tournament. The hero of of the moment, Tenma Matsukaze, traveled all over Japan to teach soccer to kids.

He returns to Raimon Junior High School after completing his mission, but to his surprise, it's no longer the same Raimon Junior High that he remembers. The soccer club is non-existent, and the members of the champion team in the Holy Road Soccer Tournament have no recollection of taking part in the tournament. They neither remember Tenma nor the game of soccer they loved. As Tenma is baffled by this twist, Alpha, the leader of the Route Agents and captain of Protocol Omega team, suddenly appears before him. Alpha declares that he and his team are responsible for wiping out passion for soccer in Raimon along with the memories of the soccer club members: and Tenma himself is next.

That's when a strange boy named Fei Rune appears just in time to save him. Just who is Fei, and why does Alpha want to eliminate soccer for good? Tenma knows that he needs to do everything in his power to emerge victorious. It's a battle that could seal the fate of soccer forever.",TV,51.0,Finished Airing,"Apr 18, 2012","May 1, 2013",Unknown,Unknown,OLM,Game,Sports,"Super Power, Team Sports, Time Travel",young boy,23.0,G - All Ages,7.211,31773.0,29082.0,2649,52438,324,2012.0
48549,Dr. Stone: New World,Dr.STONE NEW WORLD,Unknown,"Third season of Dr. Stone, airing in Spring 2023.",TV,,Not yet aired,Apr 2023,Unknown,"TOHO animation, Shueisha",Unknown,TMS Entertainment,Manga,"Adventure, Comedy, Sci-Fi",Time Travel,young boy,,PG-13 - Teens 13 or older,,,,1460,129671,373,2023.0
7785,Yojouhan Shinwa Taikei,四畳半神話大系,The Tatami Galaxy,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life.

Surreal, artistic, and mind-bending, Yojouhan Shinwa Taikei chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 23, 2010","Jul 2, 2010","Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Funimation,Madhouse,Novel,"Comedy, Mystery, Romance","Psychological, Time Travel",Unknown,23.0,R - 17+ (violence & profanity),8.571,131477.0,862.0,471,403529,16846,2010.0
46095,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),Vivy -Fluorite Eye's Song-,"When highly evolved AIs set out to eradicate mankind, the carnage that ensues fills the air with the stench of fresh blood and burning bodies. In a desperate bid to prevent the calamity from ever occurring, a scientist bets everything on a remnant from the past.

Turning the clock back a hundred years, AIs are already an integral part of human society, programmed with specific missions meant to be carried out for their entire course of operation. Vivy, the first ever autonomous AI, is a songstress tasked with spreading happiness through her voice. In a theme park where she hardly ever gets a proper audience, she strives to pour her heart out into her performances, bound to repeat it day after day—that is, until an advanced AI from the future appears before her and enlists her help in stopping a devastating war a hundred years in the making. With no time to process the revelation that flips her world upside down, Vivy is catapulted into a century-long journey to avert the violent history yet to come.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 3, 2021","Jun 19, 2021",Aniplex,Aniplex of America,Wit Studio,Original,"Action, Sci-Fi, Suspense","Music, Time Travel",Unknown,24.0,R - 17+ (violence & profanity),8.431,201231.0,1522.0,425,445297,9332,2021.0
51037,Duel Masters King Max,DUEL MASTERS キングMAX,Unknown,"The story of Duel Masters King entered the ""next stage"" with the new series. The theme of the new series is ""time travel.""

(Source: ANN)",TV,17.0,Finished Airing,"Apr 3, 2022","Aug 28, 2022","TV Tokyo, Shogakukan-Shueisha Productions",Unknown,"Brain's Base, Shogakukan Music & Digital Entertainment",Original,"Action, Adventure, Comedy, Fantasy",Time Travel,Kids,24.0,G - All Ages,,,177482.0,14227,461,8,2022.0
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Re：ゼロから始める異世界生活,ReZERO -Starting Life in Another World-,"When Subaru Natsuki leaves the convenience store, the last thing he expects is to be wrenched from his everyday life and dropped into a fantasy world. Things are not looking good for the bewildered teenager; however, not long after his arrival, he is attacked by some thugs. Armed with only a bag of groceries and a now useless cell phone, he is quickly beaten to a pulp. Fortunately, a mysterious beauty named Satella, in hot pursuit after the one who stole her insignia, happens upon Subaru and saves him. In order to thank the honest and kindhearted girl, Subaru offers to help in her search, and later that night, he even finds the whereabouts of that which she seeks. But unbeknownst to them, a much darker force stalks the pair from the shadows, and just minutes after locating the insignia, Subaru and Satella are brutally murdered.

However, Subaru immediately reawakens to a familiar scene—confronted by the same group of thugs, meeting Satella all over again—the enigma deepens as history inexplicably repeats itself.

[Written by MAL Rewrite]",TV,25.0,Finished Airing,"Apr 4, 2016","Sep 19, 2016","TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures",Funimation,White Fox,Light novel,"Drama, Fantasy, Suspense","Isekai, Psychological, Time Travel",Unknown,25.0,R - 17+ (violence & profanity),8.241,281702.0,2922.0,24,1975711,62373,2016.0
5250,God Mazinger,ゴッドマジンガー,Unknown,"The story is set in modern times, but the twist to the story is that Mazinger is an ancient weapon of the gods, left on earth to battle the evil space gods who have returned to take over the universe. ",TV,23.0,Finished Airing,"Apr 5, 1984","Oct 23, 1984","Tokyo Movie Shinsha, Dynamic Planning",Discotek Media,TMS Entertainment,Manga,"Action, Fantasy","Mecha, Time Travel",Unknown,29.0,R - 17+ (violence & profanity),6.331,612.0,73362.0,9614,2375,3,1984.0
3359,Amatsuki,あまつき,Amatsuki,"Tokidoki Rikugou is a history-hating student who flunks out of his Japanese History course; his high school forces him to make up for his failed grade by attending a special museum lecture. Its star exhibit, a vast recreation of the Edo Period, promises to alleviate the delinquent student's poor grades with an elaborate simulation of the Tokugawa Shogunate: the Edo Bakumatsu Walking Tour and Exhibition. 

Knowing next to nothing about samurai culture or the times he's walked into, he is quickly surprised to learn of the superstitious nature of Japan during the 1600s. Quickly dismissing the existence of gods and demons, he is shocked when confronted by a demon on a bridge, who attacks the unsuspecting high-schooler. Saved by a mysterious swordsman named Kuchiha, he discovers that he can no longer escape the simulation at the history museum.

Meeting another swordsman named Kon Shinonome, he discovers another contemporary that was trapped in the simulation before him. Quickly adjusting to his new home, Tokidoki must now help protect the village from demons, while uncovering the mystery of both the simulation and the company that created it.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 5, 2008","Jun 28, 2008","Frontier Works, Sotsu",Unknown,Studio Deen,Manga,"Action, Fantasy, Supernatural","Historical, Mythology, Time Travel",young girl,23.0,PG-13 - Teens 13 or older,6.891,25654.0,43802.0,2561,56006,123,2008.0
10308,Sengoku Otome: Momoiro Paradox,戦国乙女～桃色パラドックス～,Battle Girls Time Paradox,"Yoshino Hide is an average girl who always seems to find trouble wherever she goes. One day Yoshino visits a local shrine to pray in order to pass her upcoming test. However, Yoshino sees a blue light coming from inside the Shrine and looks inside to find a mysterious person performing a magic spell. In a stroke of bad luck, Yoshino trips on a small bell and crashes into the shrine, prompting the stranger to catch her. Upon Yoshino's capture, the magic spell spirals out of control and sends Yoshino back in time to the Sengoku Era.

Yoshino then encounters Akechi Mitsuhide and Oda Nobunaga. But unlike what really happened during the era, Hideyoshino realizes that everyone in the world is female. She then decides to help Oda Nobunaga find the Crimson Armor which is said to allow the person wearing the armor to conquer all of Japan.",TV,13.0,Finished Airing,"Apr 5, 2011","Jun 28, 2011",Unknown,Sentai Filmworks,TMS Entertainment,Game,"Action, Comedy, Sci-Fi","Historical, Isekai, Samurai, Super Power, Time Travel",Unknown,23.0,R+ - Mild Nudity,6.561,17176.0,60212.0,2885,44444,64,2011.0
