ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
52210,Chaoji Qiumi,超级球迷,Super Fans,Unknown,TV,26.0,Finished Airing,2003,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Original,Comedy,Team Sports,Unknown,8.0,PG-13 - Teens 13 or older,,,172992.0,20790,33,0,2003.0
45984,Yundong Xiao Fuxing,运动小福星,Unknown,Unknown,TV,52.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Original,Sports,Team Sports,Kids,3.0,G - All Ages,,,164952.0,20921,31,0,2005.0
11919,Zoku Attacker You! Kin Medal e no Michi,続・アタッカーYOU 金メダルへの道,Unknown,"Young and ambitious girls strive to do their very best to become NO.1 team in the sport world of volleyball. Outside the court, they face the problem of termination if they don’t win along with family, love and friendship dilemmas.",TV,52.0,Finished Airing,2008,Not Available,Unknown,Unknown,Knack Productions,Unknown,"Romance, Sports",Team Sports,Unknown,23.0,G - All Ages,6.151,431.0,83032.0,11619,1119,2,2008.0
39966,Tamayomi,球詠,TAMAYOMI The Baseball Girls,"Yomi Takeda and Tamaki Yamazaki have loved baseball since they were kids. They used to play catch together whenever possible, and in doing so, Yomi discovered her talent for throwing the ball in a way that seemed like magic. The girls promised to keep playing baseball even when they are older and were separated soon after. In the years that followed, Tamaki went on to become a skilled catcher, but Yomi did not get very far despite her throwing prowess.

Deciding to quit her passion, Yomi starts her first year at Shin Koshigaya High School. Try as she might to avoid anything related to baseball, she meets the twins Yoshino and Ibuki Kawaguchi, both of whom are enthusiasts of the sport. Moreover, she stumbles upon Tamaki, and just like old times, they decide to play catch—reigniting Yomi’s desire to pitch.

Reunited, Yomi and Tamaki set out to fulfill their childhood promise. Alongside Yoshino and Ibuki, they strive to revive their school’s baseball team which has been on hiatus. More members join until their group is complete, and now the new goal of Shin Koshigaya's girls' baseball team is nothing less than winning the national championships.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 1, 2020","Jun 17, 2020","Sotsu, ABC Animation, A3",Funimation,Studio A-CAT,Manga,Sports,"School, Team Sports",Unknown,23.0,PG-13 - Teens 13 or older,5.751,10638.0,101522.0,3547,30387,40,2020.0
19947,Ikkyuu-san (1978),一球さん,Unknown,"High-school student Ikkyuu knows nothing about baseball, but his talents are recognized by the manager of the baseball club, and he takes up this enchanting sport. While his ignorance of the game leads him to make many mistakes, Ikkyuu - who is in fact a descendant of ninja - displays his superhuman abilities and leads the team to the High School Baseball Championships.

(Source: Nippon Animation)",TV,26.0,Finished Airing,"Apr 10, 1978","Oct 23, 1978",Unknown,Unknown,Nippon Animation,Unknown,"Action, Sports","School, Team Sports",Unknown,24.0,PG-13 - Teens 13 or older,,,186532.0,13350,618,2,1978.0
2316,Akakichi no Eleven,赤き血のイレブン,Unknown,"At Shinsei high school, soccer is almost a combat sport and new team coach Teppei Matsuki is a fully paid up sadist who will push his team as hard as necessary to win. Headstrong school bad boy Shingo Tamai and his friend Ohira are determined not to be bullied into joining Matsuki's team; instead they set up a squad of their own, and at first play just for fun and struggle to keep up with Matsuki's team. 

As their skills progress, they play other teams and get stronger and craftier, until they face the crack Asakase high school squad and its star player Misugi Yan in the schools' final. In a tangle of subplots involving old rivalries and injuries, and a mixed-race player seeking his identity and his lost mother (who turns out to be in jail), Shingo develops his skills as a center forward and looks forward to playing a visiting Brazilian squad. He is seriously injured in a game, but his talent, which even the legendary Brazilian Pele recognizes, is equaled by his determination. With the help of a friend of his old rival Matsuki, he recovers to help the team to victory. 

Definitely melodrama rather than a sports series proper, this is the first in the line of Japanese soccer soaps that stretches to Captain Tsubasa and beyond. Based on a manga by Ikki Kajiwara and Kosei Sonoda. 

(Source: The Anime Ecyclopedia)",TV,52.0,Finished Airing,"Apr 13, 1970","Apr 5, 1971","TV Tokyo, DOGA Productions",Unknown,Unknown,Unknown,Sports,Team Sports,Unknown,25.0,PG-13 - Teens 13 or older,6.631,534.0,56622.0,10180,1940,9,1970.0
3081,Attacker You!,アタッカーＹＯＵ！,Attacker You!,"Attacker You! is the story of ambitious and energetic 13-year-old junior high schoolgirl You Hazuki (variously known as ""Mila,"" ""Jeanne"" or ""Juana"" in Western dubbed versions of the anime), who moves to Tokyo from Osaka to live with her father Toshihiko, a cameraman recently returned from Peru, and attend school. You's mother is not in the picture, having left when You was very young. Also living with You and her father is her younger brother Sunny, who is very attached to his older sister and tends to follow her everywhere she goes, including to school and to her volleyball matches. You is also curious about Kyushi Tajima, the pretty blonde woman whom she sees covering volleyball games on television, and about why her father becomes very angry whenever You mentions her.

You is passionate about volleyball and dreams of one day being a part of Japan's national women's volleyball team in the 1988 Seoul Olympics. She joins her school's girls' volleyball team and quickly becomes one of the top players, although her coach (who is also her homeroom teacher) is brutal and literally slaps his players around when they don't live up to his expectations. You begins a tumultuous friendship with former school volleyball champ and former arch-rival Nami Hayase (French name: ""Peggy""), which comes to a head when the two girls join opposing professional teams. She also develops a crush on So Takiki, the captain of the Hikawa boys' volleyball team (known as ""Shiro,"" ""Serge"" or ""Sergio"" in various Western versions), and puts as much effort into trying to win his heart as she does into her game.",TV,58.0,Finished Airing,"Apr 13, 1984","Jun 21, 1985","TV Tokyo, Shaft, Kino Production",Unknown,Knack Productions,Manga,"Action, Romance, Sports",Team Sports,young girl,23.0,R+ - Mild Nudity,6.641,2944.0,56152.0,6733,6672,21,1984.0
3433,Go-Q-Choji Ikkiman,剛Q超児イッキマン,Battle Ball,"Ikkiman is super human alien, but he doesn't know it. He was raised in a farm by an old couple. When his girlfriend dumps him to become a star, Ikkiman swears to himself that he will become a super star even more famous then her so they can get back together, and so he leaves the farm for the city. There, he interrupts the match of the Battle-ball team ""Blue Planets,"" the battle-ball champions of the earth, and decides to join them with his superhuman discovered abilities. With the Blue planets, Ikkiman will play against alien enemy's for the title of champion and for the sake of the planet Earth.",TV,32.0,Finished Airing,"Apr 13, 1986","Nov 23, 1986",Unknown,Unknown,Toei Animation,Manga,"Sci-Fi, Sports",Team Sports,Unknown,24.0,G - All Ages,6.441,264.0,67242.0,12298,879,4,1986.0
2159,Ookiku Furikabutte,おおきく振りかぶって,Big Windup!,"Ren Mihashi was the ace of his middle school's baseball team, but due to his poor pitching, they could never win. Constant losses eventually lead to his teammates bullying him and reached the point where his teammates no longer tried to win, causing Mihashi to graduate with little self-esteem. As a result, Mihashi decides to go to a high school in a different prefecture where he has no intention of playing baseball. Unfortunately, upon his arrival at Nishiura High, he is dragged into joining their new team as the starting pitcher.

Although unwilling at first, Mihashi realizes that this is a place where he will be accepted for who he is; with help from the catcher Takaya Abe, he starts to have more confidence in his own abilities. Abe, seeing the potential in Mihashi, makes it a goal to help him become a pitcher worthy of being called an ace.

[Written by MAL Rewrite]",TV,25.0,Finished Airing,"Apr 13, 2007","Sep 28, 2007","Aniplex, Mainichi Broadcasting System, TBS, Kodansha, Movic, Rakuonsha",Funimation,A-1 Pictures,Manga,"Comedy, Sports",Team Sports,teenager,25.0,PG-13 - Teens 13 or older,7.901,39080.0,7052.0,1866,95281,1683,2007.0
16486,Shin Kyojin no Hoshi II,新巨人の星II,Unknown,"A continuation of the popular baseball saga about the star pitcher of a professional baseball team.

(Source: AniDB)",TV,23.0,Finished Airing,"Apr 14, 1979","Sep 29, 1979","Tokyo Movie Shinsha, Yomiuri Telecasting",Unknown,Unknown,Unknown,Sports,Team Sports,Unknown,25.0,G - All Ages,6.051,108.0,87742.0,13671,552,0,1979.0
