ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
27453,Pororo-wa Noraehaeyo,뽀로로와 노래해요,Sing-A-Long with Pororo,Sing-A-Long with Pororo and his friends. The series features both stage singing and in-story singing similar to that of Disney films.,TV,14.0,Finished Airing,2006,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,"Music, Performing Arts",Kids,3.0,G - All Ages,5.641,121.0,106002.0,15949,302,0,2006.0
28087,Ehon Yose,えほん寄席,Unknown,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,TV,50.0,Finished Airing,2006,2008,Pony Canyon,Unknown,Unknown,Other,Horror,"Historical, Performing Arts",Kids,5.0,PG - Children,,,177782.0,15335,348,0,2006.0
27461,Pororo's English Show,뽀로로 잉글리시쇼,Pororo's English Show,A musical style season like Pororo-wa Noraehaeyo but the cast speaks entirely English with the original English dub cast as a way to teach English to native Korean Children.,TV,13.0,Finished Airing,2013,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,"Educational, Music, Performing Arts",Kids,5.0,G - All Ages,,,143672.0,16687,249,1,2013.0
427,Kaleido Star,カレイドスター,Kaleido Star,"The Kaleido Stage is known throughout the world for captivating audiences with its amazing acrobatics, innovative routines, and extravagant costumes and sets. It is a place for guests to believe in magic, and Sora Naegino wants nothing more than to be a part of that magic—by becoming an acrobat for the famed circus herself.

To realize her dream, she travels from Japan to California to audition for a place in the group. However, Sora learns that she needs much more than her natural talent to bring joy to the faces in the crowd. She quickly discovers just how difficult it is to be a professional performer where the stakes—and the stunts—are higher and mistakes spell danger! To put on performances worthy of the Kaleido Stage, she will need to endure rigorous training, unconventional assignments, fierce competition, and the antics of a mischievous spirit named Fool.

Can Sora reach new heights, make new friends, conquer her fears, and surpass her limits to become a Kaleido Star?

[Written by MAL Rewrite]",TV,51.0,Finished Airing,"Apr 3, 2003","Mar 27, 2004","Production I.G, TV Tokyo, Hal Film Maker, HoriPro, MediaNet","ADV Films, Funimation",Gonzo,Original,"Comedy, Drama, Fantasy",Performing Arts,young girl,23.0,PG-13 - Teens 13 or older,7.911,33654.0,6882.0,2072,79831,1214,2003.0
40403,Shin Sakura Taisen the Animation,新サクラ大戦 the Animation,Sakura Wars the Animation,"In 1941, one year after the defeat of Sotetsu Genan, captain Seijuurou Kamiyama of the Imperial Combat Revue's Flower Division in Tokyo leaves on a secret mission, with Sakura Amamiya temporarily assuming command. Following an incident in Europe, Kamiyama takes a young Russian girl named Klara M. Ruzhkova and leaves her in the Flower Division's care. However, Moscow Combat Revue captain Valery Kaminski is sent to Tokyo to retrieve Klara and the Flower Division must stop him.

(Source: Wikipedia, edited)",TV,12.0,Finished Airing,"Apr 3, 2020","Jun 19, 2020","Sega, Sammy, Tencent Japan",Funimation,SANZIGEN,Game,"Adventure, Sci-Fi","Mecha, Performing Arts",young boy,23.0,PG-13 - Teens 13 or older,5.781,4440.0,100162.0,4596,17308,24,2020.0
33362,Starmyu 2nd Season,高校星歌劇［スタミュ］,Unknown,"A new school year has begun at Ayanagi Academy for Yuuta Hoshitani and the members of Team Ootori. As the school's annual graduation performance titled ""Shadow and Lights"" quickly approaches, the second years in the Musical Department must participate in the production as part of their curriculum. Out of the 25 students in the division, five of them will receive a training role and actively participate as an actor in the program alongside the graduating class. Attaining one of these coveted spots will not only increase a student's academic standing within the department, but it will also put them in the running for a position on the elite Kao Council.

While every student in the department strives to obtain one of the five training roles, Team Yuzuriha's Riku Ageha is practically a front-runner for the role of Alexis' Shadow. Having idolized an Ayanagi alumnus' performance of Alexis, Ageha has spent a majority of his life perfecting the portrayal in hopes of being selected for the show. In contrast, Hoshitani's lack of experience in show-biz puts him at a great disadvantage for any of the roles in the production. 

With specialized training from the ""Ancients""—former Kao Council members and Ayanagi alumni—the second years give it their all as they aim for the stars and beyond.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2017","Jun 20, 2017",NBCUniversal Entertainment Japan,Unknown,C-Station,Original,Slice of Life,"Idols (Male), Music, Performing Arts, School",Unknown,24.0,PG-13 - Teens 13 or older,7.301,6007.0,24742.0,4738,16011,69,2017.0
1974,Glass no Kamen (2005),ガラスの仮面 (2005),Glass Mask,"Two Girls. One Dream. And the entire world for a stage.

At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks. 

For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections. 

For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part…

But for one to win, the other must fail! 

(Source: Sentai Filmworks)",TV,51.0,Finished Airing,"Apr 6, 2005","Mar 29, 2006","TMS Entertainment, MediaNet",Sentai Filmworks,Tokyo Movie Shinsha,Manga,Drama,"Performing Arts, Showbiz",young girl,25.0,G - All Ages,8.061,11742.0,4952.0,3226,36442,494,2005.0
33840,Kabuki-bu!,カブキブ！,Kabukibu!,"Kurogu had a love of kabuki theater instilled in him from a very young age thanks to his grandfather. Now, as a high school student, he desires to create his own kabuki club in order to bring an appreciation of kabuki to a wider audience. He'll find, though, that with the weight of hundreds of years of strict tradition, it's not so easy to get high schoolers interested. A rough start is not enough to deter Kurogu, and he'll work hard to inspire in others the same burning passion he feels, until the day he can put on his own performance!

(Source: Honey's Anime)",TV,12.0,Finished Airing,"Apr 7, 2017","Jun 23, 2017","Shochiku, Kadokawa Shoten, Pony Canyon, TBS",Sentai Filmworks,Studio Deen,Novel,Unknown,"Performing Arts, School",Unknown,24.0,PG-13 - Teens 13 or older,6.621,5647.0,57002.0,4414,18997,18,2017.0
33948,Hinako Note,ひなこのーと,Hinako Note,"Born and raised in the countryside of Japan, Hinako ""Hina"" Sakuragi gets anxious easily when she talks to new people—so much so that she resembles a stiff scarecrow. To overcome this, Hina hopes to get involved in theater, inspired by a play she saw during her school's field trip. So, Hina moves into the Hitotose Manor in the bustling city of Tokyo to study at Fujiyama High School, aspiring to join the school's renowned theater club.

But to Hina's dismay, she learns that Fujiyama High's theater club has been on a lengthy hiatus. Having already come to Tokyo and enrolled in the school, Hina is at a loss for what to do next. Sensing her disappointment and eagerness to learn theater, Chiaki Hagino, the landlady of Hitotose Manor, encourages Hina to create a troupe with the residents of Hitotose Manor as its members.

Hinako Note follows Hina as she begins a new life in Tokyo attending Fujiyama High while learning the ropes of theater with the support of her friends along the way.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 7, 2017","Jun 23, 2017","Media Factory, AT-X, Enterbrain, Sony Music Communications",Unknown,Passione,4-koma manga,"Comedy, Slice of Life","CGDCT, Performing Arts",Unknown,23.0,PG-13 - Teens 13 or older,6.771,32328.0,49452.0,1808,99170,196,2017.0
38080,Kono Oto Tomare!,この音とまれ！,Kono Oto Tomare! Sounds of Life,"Gen Kudou, a koto maker, believes that his delinquent grandson Chika would never understand the profoundness of the traditional musical instrument. In an attempt to make up for his naivety and understand the words of his late grandfather, Chika tries to join the Tokise High School Koto Club. 

Even though the club is in dire need of members, new club president Takezou Kurata is unwilling to easily accept Chika's application due to his bad reputation. Nonetheless, after seeing Chika's seriousness and enthusiasm, Takezou allows the problem child to join, along with koto prodigy Satowa Houzuki and three of Chika's energetic friends. Kono Oto Tomare! follows the merry band of musicians as they aspire to play at the national competition.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 7, 2019","Jun 30, 2019","WOWOW, Movic, KlockWorx, Memory-Tech, King Records, Shueisha, Pony Canyon Enterprise",Funimation,Platinum Vision,Manga,"Drama, Romance","Music, Performing Arts, School",young boy,23.0,PG-13 - Teens 13 or older,7.911,101045.0,6892.0,803,252255,2035,2019.0
