ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
210,Ranma ½,らんま1/2,Ranma ½,"Ranma Saotome is a top-class martial artist and prodigy at the Saotome ""Anything-Goes"" school of martial arts. While training in China, he and his father meet a terrible fate when they accidentally fall into a cursed spring. Now, Ranma is cursed to turn into a girl when splashed with cold water, and only hot water can turn him back into a boy.

Things are only complicated further when Ranma discovers that his father has arranged for him to marry one of Soun Tendo's three daughters in order to secure the future of the Tendo dojo. Though Soun learns of Ranma's predicament, he is still determined to go ahead with the engagement, and chooses his youngest daughter Akane, who happens to be a skilled martial artist herself and is notorious for hating men.

Ranma ½ follows the hilarious adventures of Ranma and Akane as they encounter various opponents, meet new love interests, and find different ways to make each other angry, all while their engagement hangs over their head.

[Written by MAL Rewrite]",TV,161.0,Finished Airing,"Apr 15, 1989","Sep 25, 1992","Shogakukan-Shueisha Productions, Kitty Films, Fuji TV, Shogakukan",VIZ Media,Studio Deen,Manga,"Comedy, Fantasy, Slice of Life","Magical Sex Shift, Martial Arts",young boy,24.0,R+ - Mild Nudity,7.761,113186.0,9572.0,872,233872,3779,1989.0
36902,Mahou Shoujo Ore,魔法少女 俺,Magical Girl Ore,"Saki Uno is an average 15-year-old girl with a side hustle as a member of the exceptionally unpopular idol duo Magical Twins. Despite this, she absolutely loves the time she spends with her best friend Sakuyo Mikage as she strives to become closer with her childhood crush, Sakuyo's brother Mohiro. Her peaceful life, however, unravels when she finds a yakuza-looking thug trying to enter her house. Forced to invite him inside, Saki learns that her mother used to be a demon fighting Magical Girl, and that her brutish guest is actually a mascot named Kokoro-chan looking to recruit a replacement. Dumbfounded and skeptical, Saki is hesitant accept the request until Kokoro-chan reveals that Mohiro is a target of some cute, squirrel-tailed demons.

Rushing to his side, Saki's overwhelming desire to save Mohiro activates her Love Power, and a daring confession awakens her as a Magical Girl. However, because her body is not suitable for combat, Saki's transformation turns her into a muscle-bound man clad in a pretty dress. Now, as a fully-fledged Magical Girl, Saki must team up with Sakuyo to protect the love of her life from the fluffy, demonic menaces that run rampant in her world.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 2, 2018","Jun 18, 2018","Genco, AT-X, KlockWorx, Crunchyroll, My Theater D.D.",Discotek Media,Pierrot Plus,Web manga,"Comedy, Fantasy","Magical Sex Shift, Mahou Shoujo",Unknown,23.0,PG-13 - Teens 13 or older,6.641,24694.0,55922.0,2089,78644,140,2018.0
1161,Maze☆Bakunetsu Jikuu (TV),MAZE☆爆熱時空,Maze The Mega-Burst Space,"Maze wakes up in her house, everything is a wreck and she has amnesia. Before she can gather what has happened the girl Mill storms into her house thanking her for having saved her life. She tells Maze that her house suddenly fell down from the sky and crushed Mills pursuers under it. However before long they are both on the run from further pursuers who want their hands on princess Mill. They are only saved when Maze discovers that she has phantom light magical powers and can summon Mills family heirloom mecha. However her performance with the mecha is weak; that is until the sun goes down and she is turned in to a lecherous man. Soon other travellers join them as Maze tries to protect Mill and figure out what she is doing in this fantasy world. 

(Source: ANN)",TV,25.0,Finished Airing,"Apr 3, 1997","Sep 25, 1997",Kadokawa Shoten,Central Park Media,J.C.Staff,Manga,"Adventure, Comedy, Fantasy","Magical Sex Shift, Mecha",young boy,24.0,PG-13 - Teens 13 or older,6.591,1962.0,58472.0,6874,6288,10,1997.0
200,Tenshi na Konamaiki,天使な小生意気,Cheeky Angel,"Megumi-chan is a girl with a secret past. She used to be a boy until she met a person she thought was a magic user. This person gave him/her a magical book from which a genie appears to grant one wish when blood is applied to it. Megumi made the wish to be a man in a man's body but the genie has a twist: he grants wishes backwards so he turns Megumi-kun aged 9 to Megumi-chan. Years pass and Megumi enters High School where she immediately beats up the school bully who of course falls in love with her. She is looking for that book again to be able to reverse the spell placed upon her.

(Source: ANN)",TV,50.0,Finished Airing,"Apr 6, 2002","Mar 29, 2003",Unknown,Unknown,TMS Entertainment,Manga,"Comedy, Romance",Magical Sex Shift,young boy,24.0,PG-13 - Teens 13 or older,7.441,9475.0,18862.0,3818,26012,141,2002.0
3322,Wagaya no Oinari-sama.,我が家のお稲荷さま。,Our Home's Fox Deity,"The Mizuchi bloodline has long been hunted by Yokai, or monsters. Toru and Noboru Takagami are descendents of this bloodline, and under their grandmother's discretion, are given a secret weapon to combat these monsters. It is Tenko Kugen, a fox deity who can take the shape of a man or woman at will. The mischievous deity is accompanied by a shrine maiden, Ko, who will both live with the Takagami brothers at their house. Life just got complicated. 

(Source: NIS America) ",TV,24.0,Finished Airing,"Apr 7, 2008","Sep 15, 2008","Kadokawa Shoten, NTT Docomo","NIS America, Inc.",Zexcs,Light novel,"Adventure, Fantasy, Supernatural",Magical Sex Shift,young boy,24.0,PG-13 - Teens 13 or older,7.191,11672.0,30502.0,3486,31214,76,2008.0
667,Kashimashi: Girl Meets Girl,かしまし〜ガール・ミーツ・ガール〜,Girl Meets Girl,"Hazumu was a shy boy who enjoyed gardening, collecting herbs, and long walks in the mountains. One day he finally worked up the courage to confess his love to Yasuna, but she rejected him. 

Depressed, he wandered up Mt. Kashimayama, the place where they first met, to reconsider his feelings. After getting lost, he wished upon a shooting star and received a bizarre twist of fate. 

Now he is a she, and she stumbles headfirst back into social life and relationships only to find that the entire landscape has changed!

(Source: Media Blasters)",TV,12.0,Finished Airing,"Jan 12, 2006","Mar 30, 2006","Bandai Visual, Lantis","Media Blasters, Discotek Media",Studio Hibari,Manga,"Comedy, Drama, Girls Love, Romance, Slice of Life","Love Polygon, Magical Sex Shift, School",Unknown,24.0,PG-13 - Teens 13 or older,6.631,22568.0,56802.0,2780,47720,170,2006.0
48997,Fantasy Bishoujo Juniku Ojisan to,異世界美少女受肉おじさんと,Life with an Ordinary Guy who Reincarnated into a Total Fantasy Knockout,"Since their days as students, Tsukasa Jinguuji has had incredible luck with women due to his good looks; Hinata Tachibana has had almost none, overshadowed by Jinguuji's brilliance. However, while Jinguuji has never shown interest in the opposite sex, Tachibana is always desperate for a girlfriend. Despite their polar differences, they continue to be best friends even in their thirties as salarymen. 

One night, the two are returning home from a mixer where Jinguuji was the center of attention as usual. In his drunken rambles, a frustrated Tachibana inadvertently wishes to become a beautiful girl with irresistible charm. As if the heavens were listening, a goddess suddenly shows herself before Jinguuji and Tachibana, transporting them to another world to defeat the Demon Lord and simultaneously granting Tachibana's desire.

Tachibana—now in the body of an impossibly perfect woman—has become so attractive that even Jinguuji is captivated. Moreover, Tachibana grows aware of Jinguuji's stunning appearance, finally understanding his popularity. Before they fall in love with each other, the duo must complete their mission or risk remaining prisoners to their infatuations forever.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Jan 12, 2022","Mar 30, 2022","TV Tokyo, bilibili, Cygames, Bit grooove promotion, Bushiroad Move, Music Brains",Unknown,OLM Team Yoshioka,Manga,"Adventure, Comedy, Fantasy","Gag Humor, Isekai, Magical Sex Shift",Unknown,23.0,PG-13 - Teens 13 or older,7.191,57333.0,30132.0,1496,126655,641,2022.0
51678,Oniichan wa Oshimai!,お兄ちゃんはおしまい！,Unknown,"Mahiro Oyama was just a normal erotic-game loving dude...until he woke up one morning as a woman! Turns out his mad-scientist little sister, Mihari, tried out one of her new experiments on him...with a disastrous outcome, as far as Mahiro's concerned! But Mihari is as determined to study him as he is determined to go back to his shut-in, game-playing life, and one thing's for sure...life is going to get a whole lot weirder from here on out! 

(Source: Kodansha USA)",TV,,Not yet aired,Jan 2023,Unknown,"TOHO animation, Egg Firm, Ichijinsha",Unknown,Studio Bind,Manga,Comedy,Magical Sex Shift,Unknown,,None,,,,6319,7838,65,2023.0
36873,Back Street Girls: Gokudolls,Back Street Girls -ゴクドルズ,Back Street Girls Gokudols,"After failing their boss for the last time, yakuza members Kentarou, Ryou, and Kazuhiko are faced with one of two choices: have their organs harvested and sold or take a trip to Thailand for sex reassignment surgery and become pop idols. Now, after a year of excruciating training, the three thugs have been reborn as Airi, Chika, and Mari. Debuting as the amateur idol group The Goku Dolls, the three strive towards becoming top idols.

However, despite the hours of feminizing brainwashing they were forced to endure, the three idols have managed to keep the yakuza spirit alive in their hearts. In order to fix this, their yakuza boss hires Mandarin Kinoshita, a legendary manager who has never had an idol group fail under his management. With their lives now on the line, the reluctant yakuza must work with their new manager to unleash their inner cuteness and become the successful idols that their tyrannical boss can truly be proud of. 

[Written by MAL Rewrite]",TV,10.0,Finished Airing,"Jul 4, 2018","Sep 5, 2018","Toei Video, Kodansha",Unknown,J.C.Staff,Manga,"Comedy, Ecchi","Magical Sex Shift, Organized Crime, Workplace",teenager,24.0,R - 17+ (violence & profanity),6.941,69463.0,41532.0,1446,133165,532,2018.0
24705,"Ore, Twintail ni Narimasu.",俺、ツインテールになります。,Gonna be the Twin-Tail!!,"Twintails: the glory of all mankind—or at least that is what first-year high school student Souji Mitsuka believes. At school, Souji spends most of his time daydreaming and rating girls' twintails, even going as far as creating a club dedicated to the hairstyle. His obsession does not go unnoticed, however; when monsters from outer space attack Earth and claim the world's twintails for themselves, a strange woman named Twoearle enlists Souji to fight back using twintails of his own!

By transforming into the twin-tailed warrior Tail Red, Souji combats the vicious alien organization known as Ultimegil, whose main goal is to colonize Earth and steal everyone's spiritual energy, or ""attribute power."" Alongside fellow twin-tailed fighters Aika Tsube and Erina Shindou, Souji must find a way to defeat the invading army and defend the twintails he holds so dear.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Oct 10, 2014","Dec 26, 2014","Pony Canyon, TBS, DAX Production, Daiichikosho, Shogakukan",Funimation,Production IMS,Light novel,"Action, Comedy, Fantasy, Romance","Magical Sex Shift, School",young boy,24.0,PG-13 - Teens 13 or older,6.441,62551.0,67392.0,1321,149900,499,2014.0
