ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
15911,Yuyushiki,ゆゆ式,Yuyushiki,"The story follows the school life of the three girls, Yuzuko, Yukari, and Yui, who join their high school's Data Processing Club. The odd friendship between the three make for wacky humor in even the most mundane of events.",TV,12.0,Finished Airing,"Apr 10, 2013","Jun 26, 2013","Geneon Universal Entertainment, Magic Capsule, Showgate, Houbunsha, Exit Tunes",Sentai Filmworks,Kinema Citrus,4-koma manga,"Comedy, Slice of Life","CGDCT, Gag Humor, School",Unknown,23.0,PG-13 - Teens 13 or older,7.361,37991.0,22072.0,1798,100519,600,2013.0
17082,Aiura,あいうら,Aiura,"As spring vacation comes to a close, a new school semester approaches. Deciding to make the most of the remaining holiday, Ayuko Uehara takes a stroll into her neighborhood and stops by a small cafe. However, her peaceful day is abruptly disturbed when a girl clumsily bumps into her. Left puzzled by the encounter, Ayaku is even more surprised when she meets them again as freshmen at the same high school she attends. Recognizing her from the store, the girls introduce themselves as Kanaka Amaya and Saki Iwasawa, and the three quickly become friends.

As they go through their daily lives as high school girls, the trio's distinct personalities—Kanaka's happy-go-lucky attitude, Saki's tomboyish behavior, and Ayuko's easygoingness—are sure to make every mundane school day filled with silly and fun interactions.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 10, 2013","Jun 26, 2013","Pony Canyon, Tohokushinsha Film Corporation",Unknown,LIDENFILMS,4-koma manga,"Comedy, Slice of Life","CGDCT, Iyashikei, School",young boy,4.0,G - All Ages,6.661,37726.0,54962.0,2037,83042,168,2013.0
21273,Gochuumon wa Usagi Desu ka?,ご注文はうさぎですか？,Is the Order a Rabbit?,"Kokoa Hoto is a positive and energetic girl who becomes friends with anyone in just three seconds. After moving in with the Kafuu family in order to attend high school away from home, she immediately befriends the shy and precocious granddaughter of Rabbit House cafe's founder, Chino Kafuu, who is often seen with the talking rabbit, Tippy, on her head.

After beginning to work as a waitress in return for room and board, Kokoa also befriends another part-timer, Rize Tedeza, who has unusual behavior and significant physical capabilities due to her military upbringing; Chiya Ujimatsu, a waitress from a rival cafe who does everything at her own pace; and Sharo Kirima, another waitress at a different cafe who has the air of a noblewoman despite being impoverished.

With fluffy silliness and caffeinated fun, Gochuumon wa Usagi Desu ka? is a heartwarming comedy about five young waitresses and their amusing adventures in the town they call home.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2014","Jun 26, 2014","Frontier Works, Sotsu, Magic Capsule, Showgate, Houbunsha, NBCUniversal Entertainment Japan, RAY",Sentai Filmworks,White Fox,4-koma manga,Comedy,"CGDCT, Iyashikei, Workplace",Unknown,23.0,PG-13 - Teens 13 or older,7.501,85940.0,16792.0,928,219137,2099,2014.0
38004,Strike Witches: 501 Butai Hasshin Shimasu!,ストライクウィッチーズ 501部隊発進しますっ！,Strike Witches 501st JOINT FIGHTER WING Take Off!,"Yoshika Miyafuji joins the 501st Joint Fighter Wing, a defense unit specializing in taking down alien beings known as the Neuroi. However, in days of no invasion, she and the members of the unit are taking down day to day tasks like cooking and laundry.

(Source: MAL News)",TV,12.0,Finished Airing,"Apr 10, 2019","Jun 26, 2019","Nippon Columbia, Glovision, Anime Beans",Funimation,"Acca effe, Giga Production",Manga,"Comedy, Sci-Fi","CGDCT, Military",young boy,13.0,PG-13 - Teens 13 or older,6.591,5331.0,58612.0,4576,17483,28,2019.0
31564,Sansha Sanyou,三者三葉,"Three Leaves, Three Colors","Having gone from pampered to poor after the bankruptcy of her father's company, Youko Nishikawa struggles to drop her princess-like persona and make friends at her all-girls high school. One day, while eating alone in a nearby forest, she has a chance encounter with Futaba Odagiri, the super-energetic transfer student, and Teru Hayama, an innocent-looking girl with a surprisingly direct and sometimes mean personality. Despite their differing personalities, the three girls who all have the kanji for ""leaf"" in their name begin an unlikely friendship as they try to navigate through an amusing and spontaneous adventure known as high school life.

Sansha Sanyou is a cheerful, cute series revolving around three close but very different friends as they try to balance the everyday challenges that school and adolescence have to offer.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2016","Jun 27, 2016","AT-X, DAX Production, Houbunsha, TOHO animation, RAY",Funimation,Doga Kobo,4-koma manga,"Comedy, Slice of Life","CGDCT, School",Unknown,24.0,PG-13 - Teens 13 or older,7.101,21088.0,34752.0,2470,59816,115,2016.0
5680,K-On!,けいおん!,K-ON!,"A fresh high school year always means much to come, and one of those things is joining a club. Being in a dilemma about which club to join, Yui Hirasawa stumbles upon and applies for the Light Music Club, which she misinterprets to be about playing simple instruments, such as castanets. Unable to play an instrument, she decides to visit to apologize and quit.

Meanwhile, the Light Music Club faces disbandment due to a lack of members. This causes the club members to offer anything, from food to slacking off during club time, in order to convince Yui to join. Despite their efforts, Yui insists on leaving due to her lack of musical experience. As a last resort, they play a piece for Yui, which sparks her fiery passion and finally convinces her to join the club.

From then onward, it's just plain messing around with bits and pieces of practice. The members of the Light Music Club are ready to make their time together a delightful one!

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 3, 2009","Jun 26, 2009","Pony Canyon, TBS, Movic, Rakuonsha, Animation Do","Bandai Entertainment, Sentai Filmworks",Kyoto Animation,4-koma manga,Comedy,"CGDCT, Music, School",Unknown,24.0,PG-13 - Teens 13 or older,7.851,532051.0,7902.0,133,968973,22294,2009.0
31498,Pan de Peace!,パンでPeace！,Pan de Peace!,"For the airheaded Minami Tani, there is nothing more delightful than delicious bread for breakfast. Bonding over a mutual love for the food, Minami meets the dignified Yuu Aizawa and the upbeat Fuyumi Fukagawa. Joining them is Noa Sakura, a pint-sized girl who sees bread as the ultimate weapon of self-defense. Together, the girls strengthen their bonds of friendship, while striving to sample every kind of bread this world has to offer.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 3, 2016","Jun 26, 2016","Jinnan Studio, Contents Seed",Unknown,Asahi Production,4-koma manga,"Comedy, Gourmet, Slice of Life","CGDCT, School",Unknown,3.0,PG-13 - Teens 13 or older,5.631,14609.0,106432.0,3501,30966,31,2016.0
42568,Yaku nara Mug Cup mo,やくならマグカップも,Let's Make a Mug Too,"The city of Tajimi is well-renowned for its Mino ware ceramics and being the hometown of Himeno Toyokawa's mother. Considered a legend in the world of pottery, Himeno's mother suddenly passed away when Himeno was four. However, her legacy lives on in the dozens of unique mugs that adorn the Toyokawas' new restaurant in Tajimi.

Having moved back to the city recently following the bankruptcy of her father's company in Tokyo, Himeno brings some of her mother's mugs to her first day of high school in an attempt to make friends. One person who immediately takes an interest is Mika Kukuri, an eccentric girl in Himeno's class who soon introduces her to Tooko Aoki, the president of the Pottery Club. After learning more about her mother's contributions to the club and the art form, Himeno asks her father for permission to join, which he gladly gives.

Alongside Mika and her childhood friend Naoko Naruse, Himeno enters the Pottery Club to continue her mother's beloved work and discover her own passion for the craft.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 3, 2021","Jun 21, 2021","CBC Television, Planet, Half H.P Studio, Nippon Columbia, 81 Produce, Tokyo MX, BS11, Maho Film, Zipang",Unknown,Nippon Animation,Manga,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",Unknown,14.0,PG-13 - Teens 13 or older,6.501,13583.0,63862.0,2981,41855,129,2021.0
941,Renkin San-kyuu Magical? Pokaan,錬金3級 まじかる?ぽか〜ん,Unknown,"Renkin San-kyuu Magical? Pokaan follows the daily lives of four young girls. There is just one catch: they are anything but normal. This group of friends—the energetic werewolf Liru, the joyful witch-in-training Uma, the motherly android Aiko, and the seductive vampire Pachira—are actually princesses from the netherworld who have traveled to the human world in search of a new home. Unfortunately, their naivety and severe lack of knowledge make living peacefully among earthlings much more difficult than they imagined. 

As they attempt to adapt to their brand new lifestyle, they cause all sorts of trouble, and end up attracting the unwanted attention of a woman by the name of Dr. K-Ko. The scientist believes that these new residents of Earth are up to no good and attempts to capture the girls to prove the existence of the supernatural and gain credibility with the scientific community. Every day brings a new adventure as the girls deal with the insanity of her antics and all that the human realm has to offer.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2006","Jun 20, 2006","Genco, Lantis, Media Factory",Unknown,Remic,Original,"Comedy, Ecchi","CGDCT, Gag Humor, Parody, Vampire",Unknown,24.0,R+ - Mild Nudity,6.971,9634.0,40472.0,3527,30574,115,2006.0
30795,Bakuon!!,ばくおん!!,Bakuon!!,"Every day Hane Sakura makes the arduous trip to school, cycling up a large hill on her bicycle. After encountering the motorcycle enthusiast Onsa Amano one morning, she is introduced to the motorcycle club, led by the ever-silent Raimu Kawasaki. New to motorcycles, Sakura experiences firsthand the difficulty of learning to ride again. However, through this, she hopes to once again recreate her first biking experience, which was filled with both horror and exhilaration.

Alongside Baita, the talking motorcycle; Rin Suzunoki, a Suzuki model enthusiast; Hijiri Minowa, a wealthy girl who dreams of being a thug; and professional racer Chisame Nakano, Sakura strives toward getting her bike license and experiencing the joys and hardships of motorcycles.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 5, 2016","Jun 21, 2016","Lantis, DAX Production, NBCUniversal Entertainment Japan, Akita Shoten, eBooK Initiative Japan",Sentai Filmworks,TMS Entertainment,Manga,"Comedy, Slice of Life",CGDCT,teenager,23.0,PG-13 - Teens 13 or older,6.481,23052.0,65042.0,2474,59547,123,2016.0
