ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
29527,Kagee Mukashibanashi,影絵むかし話,Unknown,The 1st arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Japanese fairy tale told with shadow puppet animation. ,TV,65.0,Finished Airing,1976,1979,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology, Samurai",Kids,15.0,G - All Ages,,,189072.0,15503,334,0,1976.0
36735,Capsule Samurai,カプセル侍,The Capsule Samurai,"A series of shorts shown on the NHK's channel Eigo-rian, which taught children English.",TV,40.0,Finished Airing,2004,2005,NHK,Unknown,Unknown,Original,Comedy,"Music, Samurai",Unknown,40.0,G - All Ages,,,172462.0,18057,169,0,2004.0
67,Basilisk: Kouga Ninpou Chou,バジリスク 甲賀忍法帖,Basilisk,"For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms.

Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war.

Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 13, 2005","Sep 21, 2005","GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,"Action, Adventure, Fantasy, Romance, Supernatural","Historical, Samurai",Unknown,24.0,R - 17+ (violence & profanity),7.551,74735.0,15112.0,1150,175705,1343,2005.0
618,Juubee Ninpuuchou: Ryuuhougyoku-hen,獣兵衛忍風帖「龍宝玉篇」,Ninja Scroll The Series,"Fourteen years after defeating the immortal warrior Himuro Genma and thwarting the Shogun of the Dark's evil plans, Kibagami Jubei continues to roam all over Japan as a masterless swordsman. During his journey, he meets Shigure, a priestess who has never seen the world outside her village. But when a group of demons destroys the village and kills everyone, Jubei becomes a prime target after acquiring the Dragon Jewel—a stone with an unknown origin. Meanwhile, Shigure—along with the monk Dakuan and a young thief named Tsubute—travels to the village of Yagyu. And with two demon clans now hunting down Shigure, Dakuan must once again acquire the services of Jubei to protect the Priestess of Light.

(Source: ANN)",TV,13.0,Finished Airing,"Apr 15, 2003","Jul 15, 2003",Studio Take Off,"Discotek Media, Urban Vision",Madhouse,Original,"Adventure, Horror, Supernatural","Martial Arts, Samurai",Unknown,24.0,R - 17+ (violence & profanity),6.681,16901.0,53982.0,3107,39313,81,2003.0
7588,Saraiya Goyou,さらい屋 五葉,House of Five Leaves,"Saraiya Goyou follows Masanosuke Akitsu, a wandering ronin adrift in Japan's peaceful Edo period. Despite being a skilled swordsman, Masa's meek personality has netted him the label ""unreliable,"" and he is often abruptly dismissed by his employers, leading him to question his resolve as a samurai. 

As Masa reaches his lowest point, he is approached by Yaichi, a carefree man draped in pink who seemingly hires him on a whim as his bodyguard. Unbeknownst to Masa, the job is not as innocent as it seems, and he is drawn into the illicit activities of the group spearheaded by Yaichi. As he becomes further entwined with the gang known as the ""Five Leaves,"" Masa struggles with his own principles. Still, his curiosity spurs him forward to uncover the past and motivations of this mysterious band of outlaws.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 16, 2010","Jul 2, 2010","Dentsu, Media Factory, Movic, Fuji TV, Shogakukan","NIS America, Inc.",Manglobe,Manga,"Drama, Mystery","Adult Cast, Historical, Samurai",teenager,23.0,PG-13 - Teens 13 or older,7.791,26044.0,9052.0,1993,85951,818,2010.0
5355,Sengoku Basara,戦国BASARA,Sengoku Basara Samurai Kings,"In the Sengoku period, the struggle for power and unification has brought endless bloodshed to the unstable Japan. Out of all the warring generals, Nobunaga Oda—the ""Demon King of Owari""—has established himself as the strongest ruler. Friend or foe, he is determined to crush anyone who stands in his way of creating a tyrannical central government. 

The only two who dare rebel against Oda are the ""One-eyed Dragon of Oshu"" Masamune Date, and the distinguished but hot-blooded warrior of the Takeda clan, Yukimura Sanada. Though they share the goal of preventing Oda from unifying the domains, Masamune and Yukimura cannot see eye-to-eye. Equally skilled in combat, mutual admiration for one another causes these two feuding warriors to forge a fierce rivalry, thwarting any attempts to form a united front against the Demon King of Owari. 

With Oda's forces closing in on their respective territories, Masamune and Yukimura reluctantly learn to put aside their differences and fight together against the threatening usurpator.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 2, 2009","Jun 18, 2009","Dentsu, Shochiku, Mainichi Broadcasting System, Movic, flying DOG",Funimation,Production I.G,Game,Action,"Historical, Martial Arts, Samurai, Super Power",Unknown,23.0,PG-13 - Teens 13 or older,7.341,62967.0,22592.0,1295,153696,960,2009.0
39356,Neko Neko Nihonshi 4th Season,ねこねこ日本史 第4期,Meow Meow Japanese History,Fourth season of Neko Neko Nihonshi.,TV,32.0,Finished Airing,"Apr 3, 2019","Feb 26, 2020",Unknown,Unknown,Unknown,Web manga,Unknown,"Anthropomorphic, Historical, Parody, Samurai",Kids,9.0,G - All Ages,,,138032.0,14972,380,0,2019.0
1264,Yoroiden Samurai Troopers,鎧伝サムライトルーパー,Ronin Warriors,"Thousands of years ago, the evil emperor Talpa attempted to conquer the Earth. Defeated, he was banished to the Nether Realm and his armor was divided into 9 separate suits. Now, he has returned to conquer Earth, having reclaimed 4 of the suits. The other 5 are in the possesion of those who are the only hope of stopping him: The Ronin Warriors. 

(Source: ANN)",TV,39.0,Finished Airing,"Apr 30, 1988","Mar 4, 1989",Unknown,"Bandai Entertainment, Discotek Media",Sunrise,Original,"Adventure, Sci-Fi",Samurai,young boy,23.0,PG-13 - Teens 13 or older,7.061,8885.0,36762.0,4575,17484,159,1988.0
918,Gintama,銀魂,Gintama,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. 

Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. 

Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo.

[Written by MAL Rewrite]",TV,201.0,Finished Airing,"Apr 4, 2006","Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",young boy,24.0,PG-13 - Teens 13 or older,8.951,365222.0,142.0,135,966240,55670,2006.0
6895,Hakuouki,薄桜鬼,Hakuoki ~Demon of the Fleeting Blossom~,"In 1864 Japan, a young woman named Chizuru Yukimura is searching for her missing father, Koudou, a doctor by trade whose work often takes him far from home. But with no word from him in months, Chizuru disguises herself as a man and heads to Kyoto in search of him. Attracting the attention of ronin, she tries to hide and ends up witnessing a horrifying sight: the ronin being brutally murdered by crazed white-haired men. In a startling turn of events, members of the Shinsengumi arrive to dispatch the creatures. But Chizuru's safety doesn't last long, as this group of men tie her up and take her back to their headquarters, unsure of whether to let her live or silence her permanently.

However, once she reveals the name of her father, the Shinsengumi decide to keep her safe, as they too have been searching for him. But Koudou is more connected to the Shinsengumi than they let on, and soon Chizuru finds herself embroiled in a conflict between the Shinsengumi and their enemies, as well as political tension in Kyoto.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2010","Jun 20, 2010",Unknown,Sentai Filmworks,Studio Deen,Visual novel,"Action, Drama, Supernatural","Historical, Samurai",female,23.0,R - 17+ (violence & profanity),7.381,67300.0,20912.0,1247,160412,1889,2010.0
9969,Gintama',銀魂',Gintama Season 2,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.

Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.

With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.

[Written by MAL Rewrite]
",TV,51.0,Finished Airing,"Apr 4, 2011","Mar 26, 2012","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Unknown,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",young boy,24.0,PG-13 - Teens 13 or older,9.051,213983.0,62.0,381,489279,7296,2011.0
37369,Neko Neko Nihonshi 3rd Season,ねこねこ日本史 第3期,Meow Meow Japanese History,Third season of Neko Neko Nihonshi.,TV,32.0,Finished Airing,"Apr 4, 2018","Feb 27, 2019",NHK,Unknown,Joker Films,Web manga,Unknown,"Anthropomorphic, Historical, Parody, Samurai",Kids,9.0,G - All Ages,6.281,123.0,75892.0,13580,571,1,2018.0
2694,Hidamari no Ki,陽だまりの樹,Tree in the Sun,"A story set in the mid-1800's about a young doctor who has been trained in Western-style medicine and a young samurai who is trying to live up to the old traditions of his class and culture. The story is actually based upon real people - the doctor, Ryo-an, was Tezuka's great grandfather.

During the Second Year of Ansei (1855) in Edo's Koishigawa are two young men, Manjiro Ibutani and Ryoan Tezuka. Ibutani is a low-ranking samurai who is a gifted swordsman and has a straightforward and strong sense of justice. Tezuka has a more carefree attitude. He has an eye for the ladies, but he is passionate about becoming a doctor. The two opposite characters come of age during the backdrop of the turbulent end of the Tokugawa Period (1600-1868 CE).

(Source: AnimeNfo) ",TV,25.0,Finished Airing,"Apr 5, 2000","Sep 20, 2000","VAP, Nippon Television Network",Unknown,Madhouse,Manga,"Action, Drama","Historical, Medical, Samurai",teenager,23.0,R+ - Mild Nudity,7.051,534.0,36912.0,8731,3260,20,2000.0
10308,Sengoku Otome: Momoiro Paradox,戦国乙女～桃色パラドックス～,Battle Girls Time Paradox,"Yoshino Hide is an average girl who always seems to find trouble wherever she goes. One day Yoshino visits a local shrine to pray in order to pass her upcoming test. However, Yoshino sees a blue light coming from inside the Shrine and looks inside to find a mysterious person performing a magic spell. In a stroke of bad luck, Yoshino trips on a small bell and crashes into the shrine, prompting the stranger to catch her. Upon Yoshino's capture, the magic spell spirals out of control and sends Yoshino back in time to the Sengoku Era.

Yoshino then encounters Akechi Mitsuhide and Oda Nobunaga. But unlike what really happened during the era, Hideyoshino realizes that everyone in the world is female. She then decides to help Oda Nobunaga find the Crimson Armor which is said to allow the person wearing the armor to conquer all of Japan.",TV,13.0,Finished Airing,"Apr 5, 2011","Jun 28, 2011",Unknown,Sentai Filmworks,TMS Entertainment,Game,"Action, Comedy, Sci-Fi","Historical, Isekai, Samurai, Super Power, Time Travel",Unknown,23.0,R+ - Mild Nudity,6.561,17176.0,60212.0,2885,44444,64,2011.0
10324,Tono to Issho: Gantai no Yabou,殿といっしょ 眼帯の野望,Unknown,Comedy parodying famous samurai generals and historical events.,TV,12.0,Finished Airing,"Apr 5, 2011","Jun 21, 2011",Frontier Works,Unknown,Gathering,4-koma manga,Comedy,"Historical, Parody, Samurai",teenager,3.0,PG-13 - Teens 13 or older,6.411,1014.0,69152.0,8980,2999,0,2011.0
13203,Lupin the Third: Mine Fujiko to Iu Onna,LUPIN the Third ～峰不二子という女～,Lupin the Third The Woman Called Fujiko Mine,"Many people are falling prey to a suspicious new religion. Lupin III infiltrates this group, hoping to steal the treasure their leader keeps hidden. There he lays eyes on the beautiful, bewitching woman who has the leader enthralled. This is the story of how fashionable female thief Fujiko Mine first met Lupin III, the greatest thief of his generation.

(Source: ANN)",TV,13.0,Finished Airing,"Apr 5, 2012","Jun 28, 2012","Tohokushinsha Film Corporation, Po10tial, Nippon Television Network","Funimation, Discotek Media",TMS Entertainment,Manga,"Action, Adventure, Comedy, Ecchi","Adult Cast, Samurai",teenager,22.0,R+ - Mild Nudity,7.771,22045.0,9482.0,2516,58065,444,2012.0
15377,Hyakka Ryouran: Samurai Bride,百花繚乱 サムライブライド,Samurai Bride,Second season of Hyakka Ryoran: Samurai Girls. ,TV,12.0,Finished Airing,"Apr 5, 2013","Jun 21, 2013","Genco, Lantis, Hobby Japan, Gigno Systems",Sentai Filmworks,Arms,Light novel,"Action, Comedy, Ecchi","Harem, Samurai, School",Unknown,24.0,R+ - Mild Nudity,6.721,40924.0,51932.0,1888,93508,88,2013.0
32011,Hakuouki: Otogisoushi,薄桜鬼～御伽草子～,Unknown,"Features the characters from the games in chibi form with a completely new story with the theme: ""A normal everyday that might have existed.""",TV,12.0,Finished Airing,"Apr 5, 2016","Jun 28, 2016",Unknown,Unknown,DLE,Visual novel,Fantasy,"Historical, Samurai",female,3.0,PG-13 - Teens 13 or older,6.591,1986.0,58872.0,6976,6087,11,2016.0
35302,Neko Neko Nihonshi 2nd Season,ねこねこ日本史,Meow Meow Japanese History,Second season of Neko Neko Nihonshi.,TV,32.0,Finished Airing,"Apr 5, 2017","Feb 28, 2018","NHK, Neft Film",Unknown,Joker Films,Web manga,Unknown,"Anthropomorphic, Historical, Parody, Samurai",Kids,9.0,G - All Ages,6.211,169.0,79562.0,13010,698,1,2017.0
38860,Bakumatsu: Crisis,BAKUMATSU ~恋愛幕末カレシ 外伝~ クライシス,Unknown,"The Bakumatsu was an era in which the souls of young men burned with anxiety for their country's future. Takasugi Shinsaku, a soldier of fortune from Choshu, sneaks aboard a government ship with his comrade Katsura Kogorou in search of a mysterious ""timepiece"" with the power to manipulate time that he fears the government wishes to keep for themselves. Rather than allow such power to fall into the wrong hands, Takasugi plans to destroy the artifact, but having obtained it, the artifact is quickly stolen, forcing the pair to follow the mysterious thief to the seat of government in Kyoto. However, when they arrive in the capital, they discover that the government has been overthrown and the deity Susanoo now reigns in its place. The streets of the city and the people in them are much different than Takasugi and Katsura remembered. The times may have changed but their mission hasn't - Takasugi and Katsura resolve to reset time and save their nation from the nefarious forces trying to hijack it.

(Source: Tokyo Otaku Mode)",TV,12.0,Finished Airing,"Apr 5, 2019","Jun 21, 2019","TBS, MAGES., FuRyu",Unknown,Studio Deen,Game,Action,"Historical, Samurai",Unknown,24.0,PG-13 - Teens 13 or older,5.671,2066.0,105052.0,5380,11535,14,2019.0
5023,Ninpuu Kamui Gaiden,忍風カムイ外伝,Unknown,"Kamui is a ninja from the Edo period who has decided to leave his clan. After doing so he is pursued relentlessly by the members of his former clan; who consider him to be a traitor and therefore wish to kill him. Kamui then wanders around Japan to escape from them by using his intelligence and great abilities to survive. In the course of the series Kamui begins to suffer from paranoia because of his status as a persecuted man. Kamui then started to believe that everybody wished to murder him and became distrusting of everyone he came across.

(Source: Wikipedia)",TV,26.0,Finished Airing,"Apr 6, 1969","Sep 28, 1969",Fuji TV,Unknown,Tele-Cartoon Japan,Manga,"Action, Adventure","Historical, Martial Arts, Samurai",Unknown,25.0,R - 17+ (violence & profanity),6.701,332.0,53032.0,10308,1860,9,1969.0
