ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
17893,Cheonbangjichuk Hani,천방지축 하니,Unknown,"Sequel of Dallyeola Hani.

Hany is a small tomboy and slightly troublesome teenager who lives life a bit carelessly on her own since her Father lives abroad due to work in the Middle East and her Mother died when she was very small. The only thing Hany is very good at is running~ fast!

(Source: Cute in Korea)",TV,13.0,Finished Airing,1988,1989,KBS,Unknown,Daewon Media,Unknown,"Comedy, Drama, Sports",School,Unknown,20.0,None,6.251,127.0,77422.0,14587,416,0,1988.0
25059,"Nikoniko, Pun",にこにこ、ぷん,Unknown,"Anime spin-off from a children's show that featured out-of-work actors dressed up as a giant mouse, penguin, and lion, itself part of the Japanese ""Watch with Mother"" TV strip for the preschool audience.

(Source: The Anime Encyclopedia)",TV,40.0,Finished Airing,1988,Not Available,"NHK, Oh! Production",Unknown,Unknown,Unknown,"Comedy, Fantasy",Unknown,Kids,9.0,G - All Ages,,,138632.0,17117,224,2,1988.0
25589,Yeongsimi,영심이,Unknown,Unknown,TV,13.0,Finished Airing,1990,1991,Unknown,Unknown,Unknown,Unknown,"Comedy, Slice of Life",School,Kids,24.0,G - All Ages,,,163562.0,17188,220,0,1990.0
6907,Mikan-Seijin,ミカンせいじん,Extraterrestrial Oranges,Mikan Seijin is about an tangerine-like alien on earth. ,TV,26.0,Finished Airing,1992,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,22.0,G - All Ages,5.561,201.0,108772.0,13461,593,3,1992.0
43947,Hahajing Hua Yuan,哈哈镜花缘,Unknown,Unknown,TV,13.0,Finished Airing,1994,Not Available,Unknown,Unknown,Unknown,Novel,"Comedy, Fantasy",Historical,Kids,22.0,G - All Ages,,,181912.0,21124,28,0,1994.0
43356,McDull and McMug,麦兜与麦唛,Unknown,Unknown,TV,13.0,Finished Airing,1997,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,Anthropomorphic,Kids,21.0,PG - Children,,,133392.0,20063,51,0,1997.0
43949,Gulu Xiansheng,咕噜先生,Unknown,Unknown,TV,26.0,Finished Airing,1998,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Comedy,Anthropomorphic,Kids,11.0,PG - Children,,,181462.0,21089,29,0,1998.0
43861,Jia You Kaixin Guo,家有开心果,Unknown,Unknown,TV,13.0,Finished Airing,2001,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Comedy,Anthropomorphic,Kids,22.0,PG - Children,,,187562.0,20973,30,0,2001.0
44679,Mimi Jihua,蜜蜜计划,Unknown,Unknown,TV,104.0,Finished Airing,2002,Unknown,Unknown,Unknown,Unknown,Original,"Comedy, Fantasy",Unknown,Unknown,10.0,PG - Children,,,134582.0,21112,29,0,2002.0
10194,Bada-ui Jeonseol Jangbogo,바다의 전설 장보고,The Legend of Blue,"In a not too distant future, the government sends a particular earthly force of mercenaries to the ocean aboard a high-tech submarine to be named dragon. Led by the young and able captain Jang, the crew of this ship will face powerful mafias that seek to take control of the seas for purposes not entirely clear. A common appearance adventure takes an unexpected and exciting course when you start to reveal that deep things are not as it seems Mysteries and higher forces become part of history when Jang and his team discovered the legendary golden ship. In this Miterio boat hides much of the secrets that pripulantes the Dragon is must be clearer. All this while waging exciting battles where strategy and courage make a difference. Undoubtedly, the most striking of this intriguing anime series is that it was not made in Japan but in Korea. This country has been instrumental in the technical development of Japanese animation for this last ten years, providing support and manpower to the genre's most important productions. Produced by the prestigious firm seoulmovie. Legend Of Blue accomplished.

(Source: Translated from mcanime.net/foro/viewtopic.php?p=1981317)",TV,26.0,Finished Airing,2002,Not Available,Unknown,Unknown,Unknown,Unknown,"Action, Adventure, Comedy, Mystery",Unknown,Unknown,25.0,G - All Ages,5.981,187.0,91592.0,12447,839,5,2002.0
44503,Xiao Po Hai,小破孩,Unknown,Unknown,TV,130.0,Finished Airing,2002,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,2.0,PG - Children,,,161242.0,20675,35,0,2002.0
43863,Bravo Dong Dong,BRAVO东东,Unknown,Unknown,TV,52.0,Finished Airing,2002,2005,Unknown,Unknown,Shanghai Animation Film Studio,Original,Comedy,Unknown,Kids,22.0,PG - Children,,,171712.0,20821,32,0,2002.0
45355,Kuaile Dongxi,快乐东西,Happy Stuff,Unknown,TV,60.0,Finished Airing,2003,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,10.0,G - All Ages,,,193752.0,21316,23,0,2003.0
52210,Chaoji Qiumi,超级球迷,Super Fans,Unknown,TV,26.0,Finished Airing,2003,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Original,Comedy,Team Sports,Unknown,8.0,PG-13 - Teens 13 or older,,,172992.0,20790,33,0,2003.0
46150,Da Jili Chedui,大吉利车队,Unknown,Unknown,TV,89.0,Finished Airing,2003,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,14.0,G - All Ages,,,175072.0,19755,58,0,2003.0
36735,Capsule Samurai,カプセル侍,The Capsule Samurai,"A series of shorts shown on the NHK's channel Eigo-rian, which taught children English.",TV,40.0,Finished Airing,2004,2005,NHK,Unknown,Unknown,Original,Comedy,"Music, Samurai",Unknown,40.0,G - All Ages,,,172462.0,18057,169,0,2004.0
46046,Yuxi Chuanqi,玉玺传奇,Unknown,Unknown,TV,26.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Unknown,"Comedy, Fantasy",Historical,Kids,11.0,PG - Children,,,165162.0,21422,21,0,2005.0
12145,Backkom,빼꼼,Bernard,"A series of animated shorts centered on the fictional polar bear and main character of the same name. 

Each three-minute episode focuses on the bear's curiosity and have many moments of slapstick. Bernard never speaks with the exception of unintelligible noises.

Bernard is accompanied in the cartoons by a few other characters: Lloyd and Eva the penguins, Zack the lizard, Goliat(h) the chihuahua, Sam the baby, Pilot the dog, Pokey the porcupine and Santa Claus.

He usually gets knocked unconscious or severely injured at the end of an episode, due to some calamity caused by his bumbling.

(Source: Wikipedia)",TV,52.0,Finished Airing,2005,Not Available,Unknown,Unknown,RG Animation Studios,Original,Comedy,Unknown,Kids,3.0,G - All Ages,5.811,990.0,99012.0,10210,1927,7,2005.0
9956,The Primitives: Bongo and Grunge,古惑香蕉頭,The Primitives Bongo and Grunge,Parody of two monkeys and their daily live in the jungle.,TV,52.0,Finished Airing,2005,2007,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,2.0,G - All Ages,,,155452.0,18087,167,0,2005.0
3737,Usavich,ウサビッチ,Usavich,"Collection of animated shorts from MTV Japan and produced by Studio Kanaban that follows the misadventures of Kirenenko and Putin, two rabbits stuck in a Russian prison. ",TV,13.0,Finished Airing,2006,2007,Unknown,Unknown,Kanaban Graphics,Original,"Adventure, Comedy",Unknown,Unknown,1.0,PG-13 - Teens 13 or older,6.891,3811.0,43732.0,6770,6585,21,2006.0
45523,Bi Jia Zhu,毕加猪,Unknown,Unknown,TV,53.0,Finished Airing,2006,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,5.0,PG - Children,,,170832.0,19671,62,0,2006.0
45356,Kuaile Dongxi 2,快乐东西2,Happy Stuff 2,Unknown,TV,60.0,Finished Airing,2006,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,10.0,G - All Ages,,,193762.0,21347,22,0,2006.0
31691,San Mao Liu Lang Ji (2006),三毛流浪记,Wanderings of Sanmao,"San Mao was a very poor orphan. He was wandering in Shanghai where people dreamed of riches in the 1930s. Sanmao, together with his baldheaded friend Xiao Laizi received grain unexpectedly from the entrepreneur Wu Zifu. Later he fell into a coma mysteriously, and the reporter Hou Yiwen would try to investigate the relationship between Wu Zifu and San Mao.

(Source: Wikipedia)",TV,25.0,Finished Airing,2006,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Historical,Kids,25.0,G - All Ages,,,146832.0,16738,246,2,2006.0
9949,Fuwa Aoyun Manyouji,福娃奥运漫游记,Fuwa's Olympic Stories,"The story takes place in a common Beijing household. Before the opening of the 29th Olympic Games in 2008, the 8-year-old boy Da You, received a birthday gift from his parents, the five Olympic mascots ""Fuwa."" 

Skillfully combined with humorous tales between Da You and the five mascots, the cartoon series introduces the history and trivia of the Olympics, as well as Chinese culture, and the preparation for the Beijing Olympics.

(Source: english.cri.cn)",TV,100.0,Finished Airing,2007,2008,Unknown,Unknown,Unknown,Unknown,"Comedy, Sports",Unknown,Unknown,11.0,PG - Children,,,179432.0,16719,246,0,2007.0
33431,Vicky and Johnny,비키와 조니,Angus & Cheryl,"The series follows Vicky and Johnny, two exuberant children who become involved in several boy vs. girl matches.",TV,104.0,Finished Airing,2007,Not Available,Unknown,Unknown,TUBA,Original,Comedy,Unknown,Kids,1.0,PG - Children,,,158652.0,19041,106,0,2007.0
53087,Nekoben,ネコべん,Unknown,Unknown,TV,6.0,Finished Airing,2007,Not Available,Unknown,Unknown,DLE,Original,Comedy,Unknown,Unknown,1.0,G - All Ages,,,138192.0,21454,19,0,2007.0
53089,Poo Poo Kids,プープーキッズ,Unknown,A comedy series about farting children.,TV,13.0,Finished Airing,2007,Not Available,Unknown,Unknown,DLE,Original,Comedy,Gag Humor,Unknown,1.0,PG - Children,,,143532.0,21455,19,0,2007.0
25965,Backkom 2,빼꼼 2,Bernard,The continuation of the previous season with more of a focus on the female penguin Backkom fancies (even though she has a boyfriend).,TV,52.0,Finished Airing,2007,Not Available,Unknown,Unknown,RG Animation Studios,Original,Comedy,Unknown,Kids,4.0,G - All Ages,5.671,404.0,105042.0,12584,798,0,2007.0
48163,Bai Bian Baobei,百变宝贝,Unknown,Unknown,TV,26.0,Finished Airing,2007,Unknown,Unknown,Unknown,Unknown,Original,"Adventure, Comedy, Sci-Fi",Unknown,Kids,22.0,PG - Children,,,169692.0,20786,33,1,2007.0
53019,Oshaberi Nachudons,おしゃべりなちゅどんズ,Unknown,Unknown,TV,26.0,Finished Airing,2007,Not Available,TV Tokyo,Unknown,DLE,Original,Comedy,Unknown,Unknown,2.0,G - All Ages,,,141072.0,21273,24,0,2007.0
46005,Ku Bao Fangkuai,酷宝方块,Unknown,Unknown,TV,229.0,Finished Airing,2007,2009,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,5.0,G - All Ages,,,193682.0,20707,35,0,2007.0
46343,Tian Tian Hao Xiguan,天天好习惯,Unknown,Unknown,TV,57.0,Finished Airing,2007,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,8.0,PG - Children,,,155602.0,21375,22,0,2007.0
48324,Hanjawang Jumong,한자왕 주몽,Adventure of Jumong,Unknown,TV,26.0,Finished Airing,2007,2008,Unknown,Unknown,Unknown,Unknown,"Adventure, Comedy",Unknown,Kids,24.0,PG - Children,,,182482.0,19693,61,0,2007.0
45536,Shuimu Xuetang,水木学堂,Unknown,Unknown,TV,50.0,Finished Airing,2008,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,10.0,PG - Children,,,150932.0,19841,56,0,2008.0
45360,Dongxi Chaguan,东西茶馆,Unknown,Unknown,TV,26.0,Finished Airing,2008,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,9.0,G - All Ages,,,176902.0,21322,22,0,2008.0
45532,Shuimu Baobao Kan Shijie,水木宝宝看世界,Unknown,Unknown,TV,800.0,Finished Airing,2008,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,5.0,PG - Children,,,150872.0,19621,65,0,2008.0
45246,Kuaile Xing Mao,快乐星猫,The Adventures of Star Cat,This entry encompasses eight seasons of The Adventures of Star Cat series. Each season featured 26 episodes.,TV,208.0,Finished Airing,2008,2015,Unknown,Unknown,Unknown,Original,"Adventure, Comedy, Fantasy, Sci-Fi",Unknown,Kids,13.0,PG - Children,,,193902.0,19597,67,0,2008.0
8815,Domo TV,どーもくん,Unknown,"A co-production between Nickelodeon and NHK featuring the stop-motion character Domo-kun, aired both in the US and Japan.",TV,26.0,Finished Airing,2008,Not Available,"NHK, Comma Studio",Unknown,dwarf,Original,Comedy,Unknown,Unknown,2.0,G - All Ages,6.181,684.0,81272.0,10924,1465,3,2008.0
46053,Keke Cheng Chang Riji,科科成长日记,Keke's Story,Unknown,TV,104.0,Finished Airing,2008,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,12.0,PG - Children,,,191042.0,21342,22,0,2008.0
45894,Yue Ce Yue Kaixin,越策越开心,Unknown,Unknown,TV,150.0,Finished Airing,2008,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,15.0,G - All Ages,,,164582.0,21419,21,0,2008.0
53090,Honmaguro Toro Tarou,本まぐろ トロ太郎,Unknown,Unknown,TV,26.0,Finished Airing,2008,Not Available,Unknown,Unknown,DLE,Original,Comedy,Unknown,Unknown,1.0,G - All Ages,,,184842.0,21464,20,0,2008.0
25967,Backkom Sports,빼꼼 Sports,Bernard,The 3rd season of Backkom which focuses on him participating and failing at a wide variety of sports. ,TV,52.0,Finished Airing,2009,Not Available,Unknown,Unknown,RG Animation Studios,Original,"Comedy, Sports",Unknown,Kids,3.0,G - All Ages,5.721,341.0,102742.0,12911,719,0,2009.0
45534,Shuimu Tiantian Gushi Hui,水木天天故事会,Unknown,Unknown,TV,365.0,Finished Airing,2009,Not Available,Unknown,Unknown,Unknown,Original,"Adventure, Comedy",Unknown,Kids,5.0,PG - Children,,,150922.0,19688,61,0,2009.0
46393,Yule Zong Dong Yuan,娱乐总动员,Unknown,Unknown,TV,101.0,Finished Airing,2009,2010,Unknown,Unknown,Unknown,Unknown,Comedy,Gag Humor,Unknown,12.0,PG-13 - Teens 13 or older,,,164762.0,21023,30,0,2009.0
45357,Kuaile Dongxi 3,快乐东西3,Happy Stuff 3,Unknown,TV,60.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,10.0,G - All Ages,,,193772.0,21348,22,0,2009.0
45974,Kaixin Sishu,开心私塾,Unknown,Unknown,TV,64.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,8.0,PG - Children,,,189742.0,21105,29,0,2009.0
46056,Cobo Xiong,酷巴熊,Cobopanda,Unknown,TV,22.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Anthropomorphic,Kids,5.0,PG - Children,,,174482.0,21260,24,0,2009.0
46301,Daomei Xiansheng,倒霉先生,Unknown,Unknown,TV,1664.0,Finished Airing,2010,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,6.0,PG - Children,,,175722.0,21321,22,0,2010.0
44132,Qin Shi Mingyue: Xiao Chuangjianghu,秦时明月之笑闯江湖,Unknown,Unknown,TV,52.0,Finished Airing,2010,Not Available,Unknown,Unknown,Unknown,Novel,"Comedy, Fantasy",Unknown,Unknown,4.0,G - All Ages,,,144642.0,18795,123,0,2010.0
45359,Kuaile Xiao Dongxi,快乐小东西,Unknown,Unknown,TV,60.0,Finished Airing,2010,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,10.0,G - All Ages,,,193872.0,21352,22,0,2010.0
46041,Xia Qiao Jie,夏桥街,Unknown,Unknown,TV,100.0,Finished Airing,2010,Unknown,Unknown,Unknown,Unknown,Unknown,"Comedy, Fantasy",Unknown,Kids,12.0,PG - Children,,,160602.0,21382,22,0,2010.0
45358,Kuaile Dongxi 4,快乐东西4,Happy Stuff 4,Unknown,TV,60.0,Finished Airing,2010,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,15.0,G - All Ages,,,193782.0,21349,22,0,2010.0
46857,Rexue Sanguo: Sanguo Dingli,热血三国之三国鼎立,Unknown,Unknown,TV,140.0,Finished Airing,2010,Unknown,Unknown,Unknown,Unknown,Other,Comedy,Historical,Kids,12.0,G - All Ages,,,145402.0,20583,37,0,2010.0
44371,Tu Baobao He San Jian Shenqi Baobei,兔宝宝和三件神奇宝贝,Unknown,Unknown,TV,164.0,Finished Airing,2010,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Anthropomorphic,Kids,13.0,PG - Children,,,157292.0,20775,33,0,2010.0
42264,Konglong Baobei: Longshen Yongshi 3,恐龙宝贝之龙神勇士3,Unknown,Third season of Konglong Baobei Zhi Longshen Yongshi.,TV,52.0,Finished Airing,2011,Unknown,Unknown,Unknown,Unknown,Original,"Adventure, Comedy, Sci-Fi",Unknown,Kids,20.0,PG - Children,,,193162.0,19377,82,0,2011.0
45535,Shuimu Juchang 365 Ye Gushi,水木剧场365夜故事,Unknown,Unknown,TV,365.0,Finished Airing,2011,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,12.0,PG - Children,,,150892.0,19681,62,0,2011.0
48289,Eori Iyagi,어리 이야기,Eori's Story,Unknown,TV,78.0,Finished Airing,2011,2012,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,11.0,PG - Children,,,178072.0,19662,63,0,2011.0
46384,Ding Laotou He Jiong GG,丁老头和囧GG,Mr. J & Mr. JOL,Unknown,TV,18.0,Finished Airing,2011,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Parody,Kids,8.0,PG - Children,,,176342.0,20934,31,0,2011.0
45519,Kuaile Tuo Mo Ta: Xiao Zhen Le Fantian,快乐椭魔塔之小镇乐翻天,Unknown,Unknown,TV,52.0,Finished Airing,2012,2013,Unknown,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,Kids,13.0,PG - Children,,,193852.0,19705,60,0,2012.0
