ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
850,Gakuen Heaven,学園ヘヴン,Gakuen Heaven,"Itou Keita, an average guy, is shocked when he's invited to attend the elite institution, ""Bell Liberty Academy."" Unnerved by the mystery, he's further distracted by the school's social dynamics. In a sea of amazing young men, Keita struggles to find out what makes him unique, and how he can possibly deserve to be treated as an equal by the boys of BL. Lacking any particular ability, just why has Itou been welcomed into the privileged world of the talented and the beautiful? 

Along the way, he develops intense relationships with the almost everyone at school but he is terribly drawn to the friendly, over-caring but very mysterious classmate, Kazuki Endou.",TV,13.0,Finished Airing,"Apr 1, 2006","Jun 24, 2006","Geneon Universal Entertainment, Visual Arts",Media Blasters,Tokyo Kids,Visual novel,"Boys Love, Comedy, Drama, Romance","Harem, School",Unknown,26.0,PG-13 - Teens 13 or older,6.481,30426.0,65172.0,2370,64025,168,2006.0
3092,Junjou Romantica,純情ロマンチカ,Junjo Romantica,"High school student Misaki Takahashi returns home to see his older brother being fondled by an unknown man. Bewildered by such a sight, Misaki finds out that the stranger is actually Akihiko Usami, a popular novelist and his brother's best friend. With the two of them slowly becoming acquainted, Akihiko ends up as Misaki's private tutor. However, after stumbling upon the author's latest boys-love novel, Misaki becomes uncertain whether or not to trust Akihiko regarding his friendship with the student's brother.

Elsewhere, Hiroki Kamijou, a university teacher of classical literature and Akihiko's friend, is grieving a failed romance. While on the edge of a mental breakdown, he meets student Nowaki Kusama, who wants his help for an upcoming exam. Despite denying Nowaki's request numerous times, Hiroki eventually lends him a hand. As the two get closer, more revelations about the student are made.

Furthermore, when wealthy teenager Shinobu Takatsuki finds out that his older sister has divorced Hiroki's coworker You Miyagi, he immediately wants to date the same man—as he saved Shinobu from a robbery three years prior. Even so, You does not feel the same way and attempts to scare him off. However, the educator soon realizes that Shinobu will do anything for their destined romance.

Junjou Romantica collects three love stories, narrating every couple's romance.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2008","Jun 27, 2008","Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Nozomi Entertainment,Studio Deen,Manga,"Boys Love, Comedy, Drama, Romance",Unknown,Unknown,24.0,PG-13 - Teens 13 or older,7.521,138267.0,16142.0,852,240286,4353,2008.0
7058,Uragiri wa Boku no Namae wo Shitteiru,裏切りは僕の名前を知っている,The Betrayal Knows My Name,"Growing up as an orphan, Yuki Sakurai questions his reason for living and ability to see a person's painful memory by simply touching them. After receiving anonymous notes telling him to die, Yuki is unable to shake off the nagging feeling forming inside of him. Unbeknownst to him, he is being watched, both by people who want to harm him and those who want to protect him.

One foggy night, Yuki's life is saved by a beautiful man with silver eyes and jet black hair—a man he has never met before yet seems familiar. With the arrival of this mysterious stranger, Yuki's forgotten past has been awakened and the purpose of his existence has appeared before him.

Uragiri wa Boku no Namae wo Shitteiru tells the story of a teenage boy as he discovers who he is and where he comes from—all while making friends, experiencing betrayal, and slowly piecing together the puzzle of his past.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 12, 2010","Sep 20, 2010",Unknown,Funimation,J.C.Staff,Manga,"Adventure, Boys Love, Drama, Fantasy",Reincarnation,young girl,23.0,R - 17+ (violence & profanity),7.221,36535.0,28832.0,1880,94437,948,2010.0
31680,Super Lovers,SUPER LOVERS（スーパーラヴァーズ）,Super Lovers,"Upon hearing news that his mother was on verge of death, Haru Kaidou—the eldest son of the family—flies all the way to Canada. The moment he arrives, he learns that not only did his mother fool him, but he is also supposed to take care of his adoptive brother, Ren Kaidou, an antisocial kid who feels more comfortable around dogs than people.

Due to his new brother's distrustful nature, Haru initially has a hard time reaching out to Ren but their relationship eventually grows. He makes a promise to Ren: they will live together in Japan after Haru graduates from high school. However, due to an unfortunate accident, Haru loses all memories of the summer they spent together, including the promise he made. Five years later, expecting Haru to keep his promise, Ren arrives in Tokyo; but to Haru, Ren is just a random boy claiming to be his brother.

[Written by MAL Rewrite]",TV,10.0,Finished Airing,"Apr 6, 2016","Jun 8, 2016","Kadokawa Shoten, DAX Production, Nippon Columbia","Funimation, Crunchyroll",Studio Deen,Manga,"Boys Love, Comedy, Drama, Romance, Slice of Life",Unknown,Unknown,24.0,PG-13 - Teens 13 or older,6.891,72434.0,43692.0,1428,134679,1049,2016.0
149,Loveless,LOVELESS,Loveless,"In the world of Loveless, each person is born with cat ears and a tail, which disappear only if that person engages in a sexual intercourse. Because of this, they have come to symbolize virginity and innocence. Additionally, fighting is only done by ""fighting pairs"" or couples, where one is known as the Sacrifice and the other as the Fighter. The first receives the damage while the latter attacks.

Ritsuka Aoyagi is a 12-year-old boy, who for some unknown reason suffers from amnesia. His brother got killed recently, and as if his life has not been hard enough lately, on his first day at the new school he gets approached by a stranger called Agatsuma Soubi, who claims to have known his late brother. Ritsuka finds out that Agatsuma and his brother used to be a fighting pair, and that Agatsuma has inherited Ritsuga now that his brother is gone. Together, they try to find the truth behind his brother's death and the organization known as the ""Seven Moons,"" which may have been responsible for it. All the while, it seems that Ritsuka and Agatsuma are becoming closer than they intended to be…",TV,12.0,Finished Airing,"Apr 7, 2005","Jun 30, 2005","Bandai Visual, TV Asahi, Movic",Media Blasters,J.C.Staff,Manga,"Action, Boys Love, Drama, Fantasy, Mystery, Romance, Supernatural",Unknown,female,24.0,PG-13 - Teens 13 or older,6.771,68163.0,49532.0,1427,134681,1301,2005.0
2835,Patalliro!,パタリロ！,Unknown,"Patarillo! is set in a society much like ours in most ways, with one decided twist. The manga on which it is based is one of the much-read works produced for adolescent Japanese girls that features a healthy proportion of gay men and beautiful teenagers aka bishounen (beautiful boys). Most of the action takes place in Marinera, the land of eternal spring, located somewhere in the South Seas. The country is a major producer of diamonds; they provide much of the basis of conflict in the anime series. They come from one of the most prolific mines in the world, owned by the king of Marinera, the vertically challenged but horizontally endowed boy-king Patarillo himself. The International Diamond Syndicate - a huge semi- criminal organization/ secret society dedicated to taking over the world's entire diamond supply- wants that mine and will stop at nothing to get it. In the early episodes they send off a number of bishounen assassins to do in Patarillo, which necessitates his having a bodyguard, the English MI6 agent, Major Jack ('Bishounen-Killer') Bancoran. Bancoran's nickname doesn't mean he shoots bishounen in cold blood. The soubriquet comes from the fact that no male under the age of 17 can resist his sexual fascination. This, to Bancoran's eternal disgust, includes Patarillo himself. The action switches often from Marinera to MI6 headquarters in London (London seems to be an easy two hour's flight from the South Seas) or Bancoran's palatial condo in the suburbs of same. (MI6, be it noted, looks a lot like Fritz Lang's Metropolis, while Jack's 'apartment' bears a passing resemblance to Randolph Hearst's spread.) The action also goes into the past and future and out into space. Patarillo evidently gets around.

(Source: aestheticism.com)",TV,49.0,Finished Airing,"Apr 8, 1982","May 13, 1983",Unknown,Unknown,Toei Animation,Manga,"Adventure, Boys Love, Comedy",Unknown,young girl,24.0,PG-13 - Teens 13 or older,7.171,1343.0,31082.0,6533,7171,95,1982.0
3656,Monochrome Factor,モノクローム･ファクター,Unknown,"The story revolves around high school student Akira Nikaido, a typical slacker living a normal life. That is, until he meets the mysterious Shirogane, a man who suddenly appears and tells him that they have a destiny together. When Akira hears this, he is shocked and doesn't believe a word of it. Aya, a friend of Akira, forgets something in the school one night, and asks Akira to help her and go find it. He agrees, and while there, he gets attacked by a shadow monster. Shirogane convinces him that the balance between the human world and the shadow world has been distorted and that Akira must become a ""shin""- a creature of the shadow world- in order to help restore the balance. The anime has shonen-ai themes which are completely absent from the manga.

(Source: Wikipedia)",TV,24.0,Finished Airing,"Apr 8, 2008","Sep 30, 2008","Sotsu, Genco",Maiden Japan,A.C.G.T.,Manga,"Action, Boys Love, Supernatural",Unknown,Unknown,24.0,PG-13 - Teens 13 or older,6.951,21640.0,41112.0,2525,57411,213,2008.0
9926,Sekaiichi Hatsukoi,世界一初恋 TV,Sekai Ichi Hatsukoi - World's Greatest First Love,"After having to deal with jealousy from his co-workers for working under his father's name, prideful literary editor Ritsu Onodera is determined to establish himself in the industry. To accomplish this, he quits his job at his father's publishing company and transfers to Marukawa Publishing. But instead of being placed in their literary division, Ritsu finds himself working as the rookie manga editor for the Emerald editing department, a team that operates under extremely tight schedules in order to meet deadlines. There, Ritsu is introduced to the infamous editor-in-chief Masamune Takano, a persistent man who strives for results.

As it turns out, Takano is actually Ritsu's high school love, and it is the aftermath of that heartbreak has caused Ritsu's reluctance to fall in love again. Now with the two reunited after several years of separation, the reestablishment of their relationship is marked by Takano's vow to make Ritsu say that he loves him again.

Sekaiichi Hatsukoi follows three couples that are interconnected within the manga industry, with each being subject to the budding of first love. 

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 9, 2011","Jun 25, 2011","Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx",Funimation,Studio Deen,Manga,"Boys Love, Comedy, Drama, Romance",Unknown,Unknown,23.0,PG-13 - Teens 13 or older,7.671,113411.0,11662.0,985,206101,3011,2011.0
36522,Ling Qi 2,灵契 2,Spiritpact Bond of the Underworld,"In this new season, we will discover the backstory of Tanmoki and who will learn through his memories who was his ancestor Rakugetsu.

(Source: ANN)",TV,12.0,Finished Airing,"Feb 23, 2018","May 11, 2018",Tencent Animation & Comics,Unknown,Haoliners Animation League,Web manga,"Action, Boys Love, Comedy, Supernatural",Unknown,Unknown,24.0,PG-13 - Teens 13 or older,7.501,16987.0,16912.0,2969,42559,197,2018.0
31815,"Kono Danshi, Mahou ga Oshigoto Desu.",この男子、魔法がお仕事です。,This Boy is a Professional Wizard,"Chiharu Kashima, captain of the Wizard Bureau's Crisis Countermeasures Division, is among a handful of people who can use magic. While frequenting his favorite bar, he is approached by a friendly man named Toyohi Utsumi. Having always dreamt of being a wizard, Toyohi is enthralled by the idea of meeting one. Much to the young Captain's surprise, Toyohi confesses that he has fallen in love with Kashima. While little time as passed, the two begin to spend more time together. Not all is well, however, as Kashima fears that magic is all that he has and Toyohi is only in love with Kashima the Wizard.

[Written by MAL Rewrite]",TV,4.0,Finished Airing,"Feb 5, 2016","Feb 26, 2016",Unknown,Kuma Holdings,CoMix Wave Films,Original,"Boys Love, Fantasy",Unknown,Unknown,7.0,PG-13 - Teens 13 or older,6.971,13139.0,40372.0,3783,26572,65,2016.0
44055,Sasaki to Miyano,佐々木と宮野,Sasaki and Miyano,"Yoshikazu Miyano's troubles first start one hot summer day when Shuumei Sasaki steps into his life. Sasaki saves Miyano's classmate from a group of bullies, and after that, Miyano cannot seem to shake off his eccentric upperclassman. His silent admiration for Sasaki gradually sours into annoyance each time the so-called delinquent refuses to leave him alone. Constantly being called by cute nicknames and having his boundaries ignored, Miyano wonders why Sasaki wants to get close to him.

The shy and easily flustered Miyano harbors an embarrassing secret—he is a ""fudanshi,"" a boy who likes boys' love (BL) manga. The last thing he wants is for other students to find out, but through a slip of the tongue, he reveals the truth to Sasaki. Intrigued, the clueless Sasaki asks to borrow a book to read, which he is given very reluctantly. To Miyano's surprise, Sasaki enjoys the BL that he receives and asks for more, marking a shift in their strange dynamic.

Although Sasaki appears to possess some personal agenda, his feelings for Miyano become complicated the more time they spend together. As they now share a common interest, their relationship is poised to change and further develop.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Jan 10, 2022","Mar 28, 2022","Nippon Columbia, Sound Team Don Juan, Kadokawa",Unknown,Studio Deen,Web manga,"Boys Love, Slice of Life","Otaku Culture, School",Unknown,23.0,PG-13 - Teens 13 or older,8.251,53292.0,2802.0,1416,136677,3552,2022.0
33417,Super Lovers 2,SUPER LOVERS（スーパーラヴァーズ） 2,Super Lovers 2,Second season of Super Lovers.,TV,10.0,Finished Airing,"Jan 12, 2017","Mar 16, 2017","Kadokawa Shoten, Movic, AT-X, DAX Production, Nippon Columbia, KlockWorx, Sony Music Communications, Tokyo MX, Lawson HMV Entertainment, TV Saitama",Unknown,Studio Deen,Manga,"Boys Love, Comedy, Drama, Romance, Slice of Life",Unknown,Unknown,24.0,PG-13 - Teens 13 or older,7.141,43537.0,32882.0,2028,83582,328,2017.0
